gstin,company_name,state_code,state_name,industry,size_type,annual_turnover,registration_date,years_old,address_id,is_fraud,fraud_type
19EBLNU6971N2ZV,"Anand, Sagar and Samra",19,West Bengal,Agriculture,medium,733766549.86,2004-05-25,22,616,1,missing_returns
17IKKHD4969T5ZZ,Sood-Prashad,17,Meghalaya,Textile,small,22634631.2,2016-05-22,10,1188,0,none
20RMLFM9710Q6ZF,Goyal Group,20,Jharkhand,Construction,small,40715018.94,2004-05-25,22,302,1,sudden_spike
01BZPTL8573M4ZJ,"Saini, Karan and Mital",01,Jammu & Kashmir,Textile,medium,891191945.23,2001-05-26,25,1595,0,none
14FUSMO9114Q9ZU,Seth-Chaudhari,14,Manipur,Cement,medium,897419281.52,2006-05-25,20,874,0,none
32XLEWL7827P4ZR,"Chander, Jani and Prabhu",32,Kerala,Cement,medium,272768899.11,2023-05-21,3,688,0,none
11XCDJD2434B4Z0,Mittal-Misra,11,Sikkim,Plastics,small,35385103.35,2001-05-26,25,1755,0,none
36TJAJT8947R4Z5,Viswanathan-Puri,36,Telangana,Construction,small,3393191.36,2017-05-22,9,689,0,none
22RKEMD6035A2Z1,"Sarma, Mallick and Contractor",22,Chhattisgarh,Chemicals,small,14487503.07,2011-05-24,15,671,0,none
07LIWHY4847B6ZO,"Purohit, Sahota and Ahluwalia",07,Delhi,Electronics,large,1362323237.87,2001-05-26,25,64,0,none
08FADDR5267F2ZK,"Manne, Dhillon and Grover",08,Rajasthan,Trading,small,46586584.08,2022-05-21,4,1180,0,none
22XJYFP8263V2ZC,"Goel, Shere and Sant",22,Chhattisgarh,Jewellery,small,19787402.06,2008-05-24,18,1037,0,none
21IWVCY6874X9ZR,Pai PLC,21,Odisha,Coal,small,37089258.29,2011-05-24,15,550,0,none
11WVCWG4630K3Z5,"Mahajan, Mitter and Varghese",11,Sikkim,Automobile,medium,373321901.01,2014-05-23,12,1803,1,missing_returns
20SHAYC7476U8Z2,"Goda, Rattan and Nagarajan",20,Jharkhand,Textile,small,21411254.18,2023-05-21,3,499,0,none
10RJOIZ5343H2ZM,"Buch, Das and Chaudry",10,Bihar,Agriculture,medium,953333682.37,2022-05-21,4,1414,0,none
06ETHPT5982L3ZT,"Pingle, Kulkarni and Maharaj",06,Haryana,Textile,small,15166943.69,2003-05-26,23,1996,0,none
02OSDWM8544F1ZQ,Madan Inc,02,Himachal Pradesh,Coal,medium,430672070.14,2022-05-21,4,152,0,none
19QBDOH9176Z4Z7,Kibe-Ramanathan,19,West Bengal,Plastics,large,3676178192.66,2011-05-24,15,1206,0,none
14HQPTY2261F9ZE,"Dyal, Gala and Kaul",14,Manipur,Food Processing,small,35089814.52,2025-05-20,1,963,0,none
10AHHWB2275Z4Z1,Bandi-Basak,10,Bihar,Steel,small,9151491.25,2008-05-24,18,545,1,fake_itc
32DBUPV9443M5Z6,Hora Ltd,32,Kerala,Coal,small,3913317.64,2011-05-24,15,885,0,none
24IGCZV5996I1ZL,"Rao, Basak and Pandya",24,Gujarat,Coal,medium,920269148.53,2009-05-24,17,372,0,none
19LVZMK3114P5ZZ,"Sankar, Raja and Banerjee",19,West Bengal,Pharmaceuticals,small,14115144.85,2011-05-24,15,238,1,sudden_spike
27KNZRO4137U8ZD,Bawa Inc,27,Maharashtra,Automobile,small,46528292.52,2017-05-22,9,898,0,none
36SDZPG1550D8ZH,Jain Ltd,36,Telangana,Chemicals,large,3626754042.36,2010-05-24,16,1445,0,none
09KMMLD1571C5Z0,Hans-Mann,09,Uttar Pradesh,Agriculture,small,2123132.45,2009-05-24,17,1487,0,none
10VPRWL4373K4ZP,Natt-Mittal,10,Bihar,Plastics,medium,440236340.77,2018-05-22,8,652,0,none
24MXJZU6191S6ZG,"Gole, Nagy and Deep",24,Gujarat,Cement,small,23932547.57,2022-05-21,4,1480,0,none
05KREMZ3668V9ZY,Divan-Kara,05,Uttarakhand,Agriculture,medium,771431718.87,2005-05-25,21,1787,0,none
18ABQXZ7406D8ZK,Sarna-Gulati,18,Assam,Trading,small,40214886.33,2025-05-20,1,601,0,none
12JDNOU1086H8ZJ,"Ghosh, Sinha and Dani",12,Arunachal Pradesh,Construction,medium,486591974.22,2011-05-24,15,1366,0,none
01XMHOB9929W5Z3,Bakshi and Sons,01,Jammu & Kashmir,Trading,large,8680019127.94,2019-05-22,7,219,0,none
08JJHSA8308Y1Z5,Kibe-Suresh,08,Rajasthan,Trading,medium,626711748.26,2001-05-26,25,722,0,none
08QQRSR8696J8ZC,Nadkarni-Minhas,08,Rajasthan,Jewellery,small,45662134.99,2002-05-26,24,670,0,none
24KFUWJ5219P5ZV,"Dada, Kadakia and Subramaniam",24,Gujarat,Steel,large,2266813135.05,2011-05-24,15,1980,0,none
08WSZZU3705O6ZQ,Mand Ltd,08,Rajasthan,Plastics,large,1975114919.79,2005-05-25,21,479,0,none
16AWOXF0893N2ZI,"Ganesan, Ganesan and Sagar",16,Tripura,Pharmaceuticals,small,25645981.71,2024-05-20,2,200,0,none
08XDLRT9471N2Z5,Mital PLC,08,Rajasthan,Paper,small,19785438.02,2017-05-22,9,909,0,none
15YWCRO9331D8ZF,"Gandhi, Varghese and Setty",15,Mizoram,Automobile,medium,972538646.46,2005-05-25,21,104,1,sudden_spike
29IZUFV5582Y3ZA,Chatterjee-Sanghvi,29,Karnataka,IT Services,large,5861939111.77,2021-05-21,5,1636,0,none
06CWDJU5021N9ZH,Gala-Baral,06,Haryana,Electronics,small,19377870.74,2010-05-24,16,1216,0,none
04LFPSX6360P7Z1,Ramaswamy LLC,04,Chandigarh,Steel,medium,471384212.89,2010-05-24,16,1842,0,none
03IDDQP7352Q7ZG,"Chauhan, Mohan and Rajagopal",03,Punjab,Steel,medium,780514593.6,2005-05-25,21,1477,1,fake_itc
33FLFIL4046L3Z4,"Issac, Wagle and Mishra",33,Tamil Nadu,Electronics,medium,138568596.62,2023-05-21,3,198,0,none
24TVOPO3136Y7ZD,Dalal Ltd,24,Gujarat,Trading,small,6972827.16,2006-05-25,20,1040,1,shell_company
07EMWJO1224R9ZB,Dhingra-Walia,07,Delhi,IT Services,small,35729541.1,2025-05-20,1,633,1,shell_company
37IAWOK1607G7Z0,Pandit Inc,37,Andhra Pradesh,Cement,small,16958593.75,2015-05-23,11,665,0,none
27YPWET0044T8Z0,Krishnamurthy-Chowdhury,27,Maharashtra,IT Services,medium,158126632.7,2019-05-22,7,881,0,none
04HRMRB3503G3ZQ,"Malhotra, Madan and Rajagopalan",04,Chandigarh,Trading,small,25874495.77,2015-05-23,11,882,0,none
06DNFOR3374O2ZU,"Datta, Patil and Mahal",06,Haryana,Paper,small,32726800.11,2007-05-25,19,593,0,none
04KZEYL6341N7Z7,"Ghosh, Varkey and Sule",04,Chandigarh,Electronics,medium,758514585.14,2013-05-23,13,454,0,none
11UBQNF7396E4ZG,Brar-Deep,11,Sikkim,Chemicals,small,30915151.29,2017-05-22,9,1557,0,none
27REUMT7495U6ZU,Banik-Sule,27,Maharashtra,Chemicals,small,23225987.06,2011-05-24,15,621,0,none
29HBNIL0808C9ZY,"Sampath, Thaker and Saxena",29,Karnataka,Cement,small,40007254.27,2007-05-25,19,1835,0,none
02LVQIM1018K2Z6,"Barad, Tara and Palla",02,Himachal Pradesh,Food Processing,small,23012397.17,2024-05-20,2,900,0,none
17NEJHK3576C6ZG,Natt-Gupta,17,Meghalaya,Plastics,small,42875180.48,2016-05-22,10,1976,0,none
37PDCRX3661W2ZT,"Krishnan, Kara and Dutta",37,Andhra Pradesh,Plastics,medium,822525544.62,2005-05-25,21,1373,0,none
23VTRNQ4331G6Z5,Dave and Sons,23,Madhya Pradesh,Automobile,large,2394506556.5,2018-05-22,8,606,0,none
33UNOTN6865E3ZL,Ghosh LLC,33,Tamil Nadu,Food Processing,small,21721213.35,2002-05-26,24,1386,0,none
24GLHTL5384G6Z2,Dhaliwal Inc,24,Gujarat,Cement,small,20329876.84,2001-05-26,25,1081,0,none
14ZVUDG6851Q2ZS,"Shetty, Deshmukh and Koshy",14,Manipur,Electronics,small,23567322.58,2001-05-26,25,1052,1,missing_returns
05VCXVX9433M2ZX,"Bera, Majumdar and Chaudry",05,Uttarakhand,Construction,small,6755989.97,2025-05-20,1,1464,0,none
21IDAXM8746C1ZQ,"Wagle, Singh and Srivastava",21,Odisha,Automobile,small,36907269.7,2021-05-21,5,1081,0,none
14CHHBK7419T9ZB,Mammen LLC,14,Manipur,Fertilizers,small,8891688.33,2007-05-25,19,880,0,none
01PGKRC9055Q9ZB,Soni PLC,01,Jammu & Kashmir,Plastics,small,20570303.43,2010-05-24,16,765,0,none
09TJBGR1571L9ZV,Dugar Inc,09,Uttar Pradesh,Food Processing,medium,981778226.5,2001-05-26,25,981,0,none
21EDSYA2783J9ZZ,Seth PLC,21,Odisha,Coal,small,33051223.94,2017-05-22,9,586,0,none
12WBRHU4449K3Z5,"Mani, Arora and Sarin",12,Arunachal Pradesh,Coal,large,5673482681.81,2014-05-23,12,1641,0,none
03SCPVO3063T7ZK,Rai Group,03,Punjab,Cement,small,36887090.99,2014-05-23,12,1867,0,none
12PLQUB6457F1ZJ,Bhandari-Dayal,12,Arunachal Pradesh,Cement,small,13327778.26,2024-05-20,2,1322,0,none
12JYADL3401L7ZU,Char Ltd,12,Arunachal Pradesh,IT Services,large,1233220067.78,2018-05-22,8,382,1,fake_itc
16NXDUS2669G2ZI,"Upadhyay, Mall and Tak",16,Tripura,Electronics,small,36241754.93,2011-05-24,15,180,1,sudden_spike
29RVIJB5887W3ZX,Dubey-Trivedi,29,Karnataka,Fertilizers,small,11647057.82,2018-05-22,8,285,0,none
08UAOJU5603W8Z7,Raja-Chandran,08,Rajasthan,Paper,small,29595224.41,2001-05-26,25,257,0,none
11QLRIW7619N9ZD,Kale Ltd,11,Sikkim,Steel,small,9903539.83,2009-05-24,17,661,0,none
37SIYXV2651J9ZF,Raghavan-Yogi,37,Andhra Pradesh,Fertilizers,small,47197135.42,2005-05-25,21,316,0,none
06RSPVO8006S5ZN,Pai-Chahal,06,Haryana,Paper,medium,523136157.13,2006-05-25,20,1285,0,none
18HYMUR2004P8ZN,Lad PLC,18,Assam,Agriculture,small,43351283.69,2006-05-25,20,654,0,none
24ZIKTN1214E2ZD,Keer-Chopra,24,Gujarat,Trading,medium,447228006.17,2013-05-23,13,1972,0,none
33XVYSE1948P1ZF,Kar-Ahluwalia,33,Tamil Nadu,Plastics,small,13554974.75,2009-05-24,17,1195,0,none
12BHPVR2011I6ZZ,"Patil, Shanker and Bhatia",12,Arunachal Pradesh,Jewellery,small,29373518.91,2024-05-20,2,399,0,none
12OBNTH9619M6ZV,Murty-Sarkar,12,Arunachal Pradesh,Jewellery,small,30918221.66,2001-05-26,25,823,0,none
17BBSUN1819K3ZZ,Bahl and Sons,17,Meghalaya,Trading,small,41757890.53,2007-05-25,19,1091,1,shell_company
16SHVJR9577W1Z4,Tripathi Ltd,16,Tripura,IT Services,medium,787353923.91,2005-05-25,21,1183,0,none
08SPEQQ8160W2ZM,Luthra Inc,08,Rajasthan,Textile,small,9268700.39,2011-05-24,15,1415,0,none
07KUXWT0123V8Z7,Doctor-Ranganathan,07,Delhi,Plastics,large,5136971788.18,2015-05-23,11,1092,1,fake_itc
11ORWRU2492J4ZT,Barad-Murthy,11,Sikkim,Trading,small,35839436.47,2003-05-26,23,650,0,none
16JYUHD6398Y3ZS,Bhandari-Chawla,16,Tripura,Pharmaceuticals,large,1711264924.09,2016-05-22,10,1893,1,circular_trading
15RTFVH5217H4ZD,"Bhat, Parsa and Kapadia",15,Mizoram,Fertilizers,medium,99866551.5,2018-05-22,8,847,1,missing_returns
11SCUAO9498P4ZS,Solanki Ltd,11,Sikkim,Agriculture,medium,912540110.8,2016-05-22,10,184,0,none
21ONSYX1819M8ZL,Kohli-Konda,21,Odisha,Trading,small,29262169.7,2024-05-20,2,220,0,none
37ZHZOM9841D6ZK,Rege-Iyer,37,Andhra Pradesh,Cement,small,10937555.32,2005-05-25,21,1509,0,none
11UOTEW8850V2ZL,Parmer PLC,11,Sikkim,Chemicals,small,13906260.02,2010-05-24,16,535,0,none
13GTYHS0660D8ZT,"Pant, Muni and Varty",13,Nagaland,Food Processing,medium,926950713.25,2013-05-23,13,1819,1,shell_company
23URQYJ2944T6Z0,Jaggi Ltd,23,Madhya Pradesh,Coal,small,33876533.09,2001-05-26,25,448,0,none
27GTWCL7050R9ZM,Borah PLC,27,Maharashtra,Chemicals,small,26976393.98,2020-05-21,6,239,0,none
22FPCNV4540O5ZB,Lata-Grover,22,Chhattisgarh,Plastics,medium,758514258.69,2017-05-22,9,1185,0,none
03BIBZY0904Y3Z0,Wason Inc,03,Punjab,Jewellery,small,46021523.68,2013-05-23,13,774,1,missing_returns
13CZWDW1931H1ZB,Sethi-Puri,13,Nagaland,Trading,medium,567223072.07,2011-05-24,15,1090,0,none
13VGJHY7184Y1ZP,"Chakraborty, Sani and Balan",13,Nagaland,Automobile,small,3611661.24,2023-05-21,3,1225,1,fake_itc
22SBTKG2805J4ZU,Puri LLC,22,Chhattisgarh,Agriculture,small,8876500.84,2018-05-22,8,1353,0,none
17FHBYW9644L7Z7,"Mishra, Rai and Dhar",17,Meghalaya,Agriculture,small,9162445.18,2003-05-26,23,771,1,sudden_spike
06TMWHS8959R9ZI,Mahal-Pal,06,Haryana,Plastics,small,17852623.69,2018-05-22,8,162,0,none
37LJNVB3600Z9ZN,Dhar-Shetty,37,Andhra Pradesh,Coal,medium,366316095.28,2019-05-22,7,1960,0,none
37AYZDZ4262H9ZU,Salvi-Banerjee,37,Andhra Pradesh,Trading,small,33138624.32,2013-05-23,13,632,0,none
09JWMUS7323B4ZJ,"Bhatnagar, Raja and Tailor",09,Uttar Pradesh,Textile,small,30033531.16,2017-05-22,9,1475,1,shell_company
14HFFOG5937P8Z3,Wali-Mukherjee,14,Manipur,Food Processing,medium,210802425.32,2002-05-26,24,1476,0,none
18MXOQB0896Y1Z0,"Sastry, Lala and Dhaliwal",18,Assam,Chemicals,small,35944139.06,2005-05-25,21,19,0,none
07NJQRQ4405A1Z7,Suresh-Buch,07,Delhi,IT Services,large,1154283378.42,2008-05-24,18,1666,0,none
23RUXCC1158I7ZF,"Ramaswamy, Morar and Srinivasan",23,Madhya Pradesh,Jewellery,small,13673978.92,2013-05-23,13,1428,0,none
08HVCZQ0434U1ZK,Bahri-Solanki,08,Rajasthan,Electronics,medium,662661879.85,2010-05-24,16,679,0,none
19ZZXXF9652C5Z8,Anne-Bhatt,19,West Bengal,Pharmaceuticals,large,3830362239.04,2020-05-21,6,1970,0,none
07PTSKC1283R6ZY,Rao Inc,07,Delhi,Chemicals,medium,525753209.06,2003-05-26,23,1996,0,none
12BLVIT9370I8Z5,Sawhney PLC,12,Arunachal Pradesh,Construction,small,20020495.81,2014-05-23,12,381,0,none
22PJUHG0237E7ZU,"Maharaj, Bhavsar and Patla",22,Chhattisgarh,Jewellery,small,47262090.91,2022-05-21,4,911,0,none
12TCCLO5105T6ZY,Gola PLC,12,Arunachal Pradesh,Textile,small,39400117.07,2016-05-22,10,1485,0,none
36OZGNR1221F7ZR,Sarna-Yogi,36,Telangana,Paper,small,5692225.35,2016-05-22,10,516,1,circular_trading
08SMQLD0383K8ZV,Chawla-Lalla,08,Rajasthan,Paper,large,2225120244.2,2005-05-25,21,657,0,none
20YFIZZ2645H6ZY,"Desai, Sharma and Bhardwaj",20,Jharkhand,IT Services,small,46739223.32,2013-05-23,13,410,1,shell_company
19ZETAS9278C7Z5,Deshmukh and Sons,19,West Bengal,Chemicals,small,14128720.88,2005-05-25,21,316,0,none
23LJLPP5984B6Z8,Bajaj Inc,23,Madhya Pradesh,Electronics,medium,674721562.35,2022-05-21,4,728,0,none
06QBZRK7940I4Z6,Badal PLC,06,Haryana,Fertilizers,small,29611299.12,2008-05-24,18,913,0,none
12KUPNI0149D3ZW,"Keer, Gala and Patil",12,Arunachal Pradesh,Trading,small,11929631.66,2015-05-23,11,990,0,none
12MLSIH8186V3ZP,Dani Group,12,Arunachal Pradesh,Fertilizers,small,17887503.47,2020-05-21,6,874,0,none
15GKEQL0615M1ZN,Shukla-Basu,15,Mizoram,Automobile,medium,818293299.2,2017-05-22,9,129,0,none
19CWEIL2856T7ZZ,"Comar, Pillai and Grover",19,West Bengal,Steel,small,23977308.14,2014-05-23,12,354,0,none
32RUXPR3213E9ZY,Dugar-Minhas,32,Kerala,Paper,small,20418078.22,2006-05-25,20,381,0,none
16QSQZO4134B6ZA,"Tak, Dhingra and Saini",16,Tripura,Coal,small,20429320.44,2021-05-21,5,1151,0,none
17QKMSL1572B5ZO,Sangha-Wali,17,Meghalaya,Trading,medium,587367938.13,2020-05-21,6,1583,0,none
27MNOGO9577O9ZN,"Vala, Choudhury and Patla",27,Maharashtra,Paper,medium,670988117.26,2022-05-21,4,507,0,none
10WAGWC8182X6Z1,Mand Ltd,10,Bihar,Food Processing,small,11917743.5,2006-05-25,20,424,1,sudden_spike
29BJHOI7228V2ZI,Mander Group,29,Karnataka,Paper,large,8803428313.9,2024-05-20,2,260,0,none
23WGSVT6452N7Z2,"Raj, Dutta and Gopal",23,Madhya Pradesh,Electronics,medium,780440023.08,2005-05-25,21,826,1,missing_returns
17TSWLM5880O6ZE,"Pal, Sengupta and Thaman",17,Meghalaya,Plastics,large,8423628828.72,2019-05-22,7,1014,0,none
09IHODW7870U8ZB,Jain-Chana,09,Uttar Pradesh,Steel,small,2032444.71,2020-05-21,6,1963,0,none
14FRDQE9262L3ZD,Deshmukh Group,14,Manipur,Plastics,small,35573185.83,2005-05-25,21,480,0,none
14RSAMD2606D7ZI,Mallick-Kara,14,Manipur,Coal,small,6287891.89,2023-05-21,3,1651,0,none
04CJHJV8660S1ZK,Prabhu and Sons,04,Chandigarh,Cement,medium,646676036.42,2014-05-23,12,311,0,none
37KRWCC7539K3ZP,Mammen PLC,37,Andhra Pradesh,IT Services,small,28563038.33,2005-05-25,21,1229,0,none
24PURWR3557J1ZP,Chaudhary LLC,24,Gujarat,Coal,small,25979961.98,2013-05-23,13,1217,0,none
03NZZYD8536Y8ZE,Dani-Chauhan,03,Punjab,Textile,small,14584893.3,2007-05-25,19,82,0,none
37BUNQN4705T3ZR,Narula and Sons,37,Andhra Pradesh,Electronics,small,46204393.22,2016-05-22,10,1996,1,fake_itc
29EIPTQ6349H1ZP,"Rao, Sheth and Singhal",29,Karnataka,Electronics,small,31390246.13,2012-05-23,14,113,0,none
10RREAD0435X5ZK,Mani Group,10,Bihar,Jewellery,medium,879787053.58,2021-05-21,5,1502,0,none
36DXILN2964Q6ZD,"Mangat, Jain and Lall",36,Telangana,Coal,small,9550879.09,2007-05-25,19,1584,0,none
04XRCTA8003E3ZC,Amble-Mane,04,Chandigarh,Paper,small,21980316.73,2018-05-22,8,1476,1,sudden_spike
11HCJNX1899C8ZS,"Mody, Rastogi and Chand",11,Sikkim,Trading,small,23923816.45,2015-05-23,11,756,0,none
07HUTGJ9977R4ZJ,Vasa-Shah,07,Delhi,Textile,small,27994169.6,2012-05-23,14,1303,0,none
32SAITJ7329N8ZD,Dewan LLC,32,Kerala,Chemicals,small,4107212.75,2003-05-26,23,475,0,none
36VKXLT5563S1Z1,"Deol, Raman and Din",36,Telangana,Chemicals,small,42843857.88,2018-05-22,8,1897,0,none
29KVILG9171D3Z2,Balan-Sami,29,Karnataka,Cement,small,27724378.36,2015-05-23,11,1976,0,none
27FIGDE6860K3ZF,"Krishna, Baral and Kulkarni",27,Maharashtra,Construction,small,4349629.64,2014-05-23,12,613,0,none
09VEYWO5017D1ZD,Badami-Agarwal,09,Uttar Pradesh,Construction,small,21227926.86,2021-05-21,5,1406,1,missing_returns
21YCPXB9168C6ZH,Sant-Oak,21,Odisha,Pharmaceuticals,small,46358322.83,2011-05-24,15,888,0,none
32SMJLJ9241T4ZS,Varughese Group,32,Kerala,Coal,medium,505079383.46,2012-05-23,14,180,0,none
09JKQUG9503W6Z4,Ganguly-Kapoor,09,Uttar Pradesh,Coal,large,5521539299.89,2014-05-23,12,796,0,none
09EIFXU0957H3ZG,"Nayar, Sehgal and Vaidya",09,Uttar Pradesh,Construction,small,27617099.1,2004-05-25,22,1621,0,none
37TTYOZ3991H6ZW,Banerjee-Oza,37,Andhra Pradesh,Textile,medium,950180798.32,2003-05-26,23,1155,0,none
05OEZWM3402H1Z7,Choudhury PLC,05,Uttarakhand,Coal,small,31478468.85,2025-05-20,1,1652,1,fake_itc
05IEUWB1711Q6ZE,Mann-Luthra,05,Uttarakhand,Jewellery,large,4560360061.18,2003-05-26,23,207,0,none
11HDEYU9619W6ZO,Bhagat-Bhatt,11,Sikkim,Food Processing,small,35047925.1,2013-05-23,13,261,0,none
06SYYKZ9069T4ZG,"Ganguly, Gole and Walla",06,Haryana,Coal,small,5734718.65,2021-05-21,5,711,0,none
11EXCSQ8422C6ZQ,"Badal, Comar and Patil",11,Sikkim,Steel,small,20524980.7,2002-05-26,24,1501,0,none
14ZWMJO1486V4ZK,Chanda-Misra,14,Manipur,Cement,medium,81742147.21,2023-05-21,3,42,0,none
11GCIXE0993T8ZB,Bedi Ltd,11,Sikkim,Paper,small,44708156.98,2005-05-25,21,322,0,none
02CFESS7222B7Z9,Bhasin Inc,02,Himachal Pradesh,Coal,small,2183147.46,2021-05-21,5,180,0,none
10VQMCF6941Z7Z4,Dixit and Sons,10,Bihar,Coal,small,32809586.36,2004-05-25,22,794,0,none
06JJEBL2851W2ZF,Setty-Mallick,06,Haryana,Jewellery,small,38309930.54,2008-05-24,18,466,0,none
18BKNZR9522M1Z6,Keer Group,18,Assam,Fertilizers,medium,639259458.63,2007-05-25,19,247,0,none
27LYEFF0062U3ZQ,Roy-Khurana,27,Maharashtra,Agriculture,large,1603107577.44,2002-05-26,24,795,0,none
18KIHLW7654N3ZJ,"Mangat, Kar and Parsa",18,Assam,Steel,small,6847541.26,2022-05-21,4,586,0,none
33NIKJM6021T7ZC,Jayaraman-Shah,33,Tamil Nadu,Plastics,medium,96826426.75,2015-05-23,11,974,0,none
37GJIUI8869H3ZT,Raj PLC,37,Andhra Pradesh,Cement,medium,305948981.96,2001-05-26,25,854,0,none
20QEFVT7885F2ZT,Halder-Ramakrishnan,20,Jharkhand,Fertilizers,small,42862176.37,2013-05-23,13,1801,0,none
19AFVVG4972O9ZZ,Shah PLC,19,West Bengal,Steel,small,19878404.55,2004-05-25,22,1217,0,none
15EWPJE8762M1ZK,"Krishnamurthy, Seshadri and Master",15,Mizoram,Automobile,medium,693810483.79,2018-05-22,8,552,1,circular_trading
21KAUTA9660I5ZR,"Chad, Bath and Chaudhry",21,Odisha,Paper,medium,486048117.95,2013-05-23,13,447,0,none
15HNQPA9985T5ZT,Bedi and Sons,15,Mizoram,Steel,small,49441326.36,2010-05-24,16,1312,1,shell_company
11WGSXH1788Z7ZU,"Pai, Som and Kashyap",11,Sikkim,Chemicals,small,25873895.76,2002-05-26,24,606,1,circular_trading
09XKTPZ8376U8ZW,Tandon-Varty,09,Uttar Pradesh,Fertilizers,medium,848606759.87,2016-05-22,10,1796,0,none
18ECDGV7163C4ZW,Sabharwal PLC,18,Assam,Construction,medium,449448939.78,2002-05-26,24,1817,0,none
11JPMDB6564G9ZH,"Goel, Sama and Agrawal",11,Sikkim,Plastics,small,4594974.59,2009-05-24,17,1750,1,fake_itc
05DFKOX4377P6ZL,Verma and Sons,05,Uttarakhand,Agriculture,small,23698554.97,2005-05-25,21,429,0,none
27UOEUU1444P7ZA,Manda LLC,27,Maharashtra,Pharmaceuticals,small,19908867.46,2008-05-24,18,29,0,none
36IVERQ2631M9ZT,Oak-Mani,36,Telangana,Food Processing,medium,333292140.82,2023-05-21,3,596,0,none
15SPIXZ3931Z7ZB,Datta and Sons,15,Mizoram,Construction,medium,174645487.6,2018-05-22,8,1504,0,none
01PEJQA8250B2ZB,"Varughese, Muni and Bandi",01,Jammu & Kashmir,Pharmaceuticals,small,23327085.87,2003-05-26,23,254,0,none
18GSFRA4156W3Z0,"Gara, Char and Raman",18,Assam,Steel,medium,161847840.02,2009-05-24,17,234,0,none
29CFFGN2720P4Z4,Barad Inc,29,Karnataka,Agriculture,small,34238390.36,2018-05-22,8,1858,0,none
04VRDCN7122J5Z3,Ranganathan-Mammen,04,Chandigarh,Pharmaceuticals,medium,880433426.7,2022-05-21,4,1746,1,missing_returns
10JRLDW8016K6Z2,"Contractor, Srivastava and Ranganathan",10,Bihar,IT Services,small,41118285.9,2002-05-26,24,375,0,none
04KZHKW7671W1ZK,Ravi-Ganesan,04,Chandigarh,Steel,large,5344073654.86,2012-05-23,14,1166,0,none
