gstin,industry,state_code,years_old,size_type,annual_turnover,filing_rate,missing_returns,avg_delay_days,avg_itc_ratio,total_itc_claimed,total_tax_paid,total_outward_supply,avg_monthly_sales,sales_volatility,spike_ratio,invoices_issued,invoices_received,invoice_match_rate,unique_buyers,unique_suppliers,companies_same_address,is_fraud,fraud_type,avg_itc_ratio_is_outlier,spike_ratio_is_outlier,avg_monthly_sales_is_outlier,sales_volatility_is_outlier,avg_delay_days_is_outlier
18FFBQF9802V8ZN,Chemicals,18,24,large,6139387839.93,1.0,0,0.89,0.7488,1548146694.95,506919388.95,12013163446.77,382712522.52000004,0.2372,0.8264,23,46,0.8261,23,46,2,0,none,0,0,1,0,0
08UUECL4476U2ZD,Plastics,8,24,small,43360281.74,0.9444,1,3.5,0.7231,36720588.58,2753894.73,269603936.69,15859055.1,0.9663999999999997,4.10055,36,52,0.8611,36,52,3,1,sudden_spike,0,1,0,1,0
07ELKHG9485B9ZA,Electronics,7,25,medium,207995555.07,0.8889,2,5.61,1.7519999999999996,140124806.28,0.0,328426590.34,20526661.9,0.2711,0.8789,41,41,0.8293,41,41,1,1,fake_itc,1,0,0,0,0
16FKBJZ2744X9Z5,Chemicals,16,7,small,48498049.52,0.9444,1,10.56,0.7571,9852949.64,2992355.67,81856396.33,4815082.14,0.2584,0.9705,31,47,0.9032,31,47,6,0,none,0,0,0,0,0
24OTBPN8190F2ZE,Construction,24,13,small,44733791.08,0.9444,1,1.83,0.7508,9870722.4,3129922.63,73589807.28,4328812.19,0.2291,1.1565,41,29,0.9024,41,28,2,0,none,0,0,0,0,0
19PQKPN9272M3ZT,Cement,19,11,large,9421608587.0,0.9444,1,3.17,0.7238,1832438325.73,758475169.57,15508323899.58,382712522.52000004,0.2728,0.9534,39,32,0.9487,39,32,6,0,none,0,0,1,0,0
15QOCNN1302J3Z2,Trading,15,20,large,8263899489.39,0.9444,1,6.39,0.7743,1630630983.9,513015435.06,12969105779.59,382712522.52000004,0.2951,0.8991,29,37,0.8276,29,37,4,0,none,0,0,1,0,0
01ROYCW2871J4ZV,Automobile,1,22,medium,300784706.55,0.7222,5,1.89,0.7586,58132426.07,17878967.34,393977463.09,30305958.7,0.3057,1.2067,34,48,0.8529,34,48,8,0,none,0,0,0,0,0
09XVCLH0762X8Z9,Paper,9,18,small,5611705.28,0.9444,1,0.94,0.7521,1314872.05,455961.63,9894309.88,582018.23,0.2719,1.0544,43,35,0.9302,43,35,4,0,none,0,0,0,0,0
23XOVPD1387B6ZN,Construction,23,22,small,39445579.61,0.9444,1,6.67,0.723,8396148.69,3237748.39,67834977.12,3990292.77,0.2656,1.0969,32,39,0.8438,32,39,1,0,none,0,0,0,0,0
33KQEYW9880X6Z0,Construction,33,9,small,35661353.03,1.0,0,4.39,0.7079,7943658.21,3465892.83,62588402.65,3477133.48,0.2523,1.0001,41,39,0.8537,40,39,2,0,none,0,0,0,0,0
33BMFXJ8826M6ZR,Electronics,33,25,small,32791123.45,0.8889,2,1.11,1.7519999999999996,25744446.6,2743653.32,2891626.74,180726.67,0.2488,0.666,38,34,0.9474,38,34,3,1,shell_company,1,0,0,0,0
22ZNYCZ1921N6ZU,Paper,22,20,large,2040812056.26,0.9444,1,5.83,0.7434,386217545.85,131479006.47,3079180014.06,181128236.12,0.3439,0.6801,35,50,0.9714,34,50,2,0,none,0,0,0,0,0
19EBLNU6971N2ZV,Agriculture,19,22,medium,733766549.86,0.5556,8,2.5,0.7617,82462723.78,25248419.94,695790901.15,69579090.12,0.2244,0.8559,43,41,0.907,43,41,4,1,missing_returns,0,0,0,0,0
17IKKHD4969T5ZZ,Textile,17,10,small,22634631.2,0.9444,1,5.0,0.7779,4756890.78,1353210.59,36052179.57,2120716.45,0.3008,1.6231,47,31,0.9362,47,31,2,0,none,0,0,0,0,0
20RMLFM9710Q6ZF,Construction,20,22,small,40715018.94,1.0,0,3.22,0.7803,31486684.57,2850855.95,299509713.04,16639428.5,0.9663999999999997,4.10055,31,51,0.7742,31,51,2,1,sudden_spike,0,1,0,1,0
01BZPTL8573M4ZJ,Textile,1,25,medium,891191945.23,0.8889,2,0.5,0.7405,161912808.4,54908520.6,1264214685.84,79013417.86,0.317,0.8813,47,36,0.8511,46,36,5,0,none,0,0,0,0,0
14FUSMO9114Q9ZU,Cement,14,20,medium,897419281.52,0.9444,1,14.56,0.7221,236343657.94,91106554.98,1679998659.06,98823450.53,0.2298,0.8798,48,37,0.9167,48,37,2,0,none,0,0,0,0,0
32XLEWL7827P4ZR,Cement,32,3,medium,272768899.11,0.9444,1,7.22,0.7141,45581621.87,17680983.84,462409727.33,27200572.2,0.3429,1.1622,35,34,0.9143,35,33,5,0,none,0,0,0,0,0
11XCDJD2434B4Z0,Plastics,11,25,small,35385103.35,1.0,0,13.06,0.7814,9315697.22,2868689.71,61384834.4,3410268.58,0.2876,1.369,25,36,1.0,25,35,3,0,none,0,0,0,0,0
36TJAJT8947R4Z5,Construction,36,9,small,3393191.36,1.0,0,7.5,0.7245,663225.06,255418.01,6469184.58,359399.14,0.2273,1.1994,34,40,0.9118,34,39,2,0,none,0,0,0,0,0
22RKEMD6035A2Z1,Chemicals,22,15,small,14487503.07,1.0,0,4.28,0.7351,3493051.93,1183503.03,25082285.1,1393460.28,0.3221,1.0558,38,43,0.9737,38,43,3,0,none,0,0,0,0,0
07LIWHY4847B6ZO,Electronics,7,25,large,1362323237.87,1.0,0,1.78,0.8215,274800604.46,61668765.68,2434146866.21,135230381.46,0.309,1.1681,39,34,0.8462,39,34,4,0,none,0,0,0,0,0
08FADDR5267F2ZK,Trading,8,4,small,46586584.08,1.0,0,4.5,0.7846,7740668.27,2318923.54,81813376.1,4545187.56,0.3194,0.8557,40,40,0.825,40,40,1,0,none,0,0,0,0,0
22XJYFP8263V2ZC,Jewellery,22,18,small,19787402.06,1.0,0,4.83,0.7524,3264107.45,1247566.22,32052673.08,1780704.06,0.3547,0.9337,45,44,0.9111,45,44,4,0,none,0,0,0,0,0
21IWVCY6874X9ZR,Coal,21,15,small,37089258.29,0.9444,1,2.39,0.7215,5746107.33,2191080.4,58154976.8,3420880.99,0.3451,0.7878,38,39,0.8684,38,39,3,0,none,0,0,0,0,0
11WVCWG4630K3Z5,Automobile,11,12,medium,373321901.01,0.5556,8,6.06,0.7305,38351661.69,13859861.38,346609839.85,34660983.98,0.2607,1.0147,42,38,0.7857,42,37,2,1,missing_returns,0,0,0,0,0
20SHAYC7476U8Z2,Textile,20,3,small,21411254.18,1.0,0,8.83,0.7635,5742785.72,1881082.75,45099534.97,2505529.72,0.2275,1.0399,48,34,0.8542,48,34,4,0,none,0,0,0,0,0
10RJOIZ5343H2ZM,Agriculture,10,4,medium,953333682.37,0.8889,2,0.89,0.7103,158874743.74,67977828.06,1471621900.74,91976368.8,0.2949,0.9414,40,36,0.9,40,36,2,0,none,0,0,0,0,0
06ETHPT5982L3ZT,Textile,6,23,small,15166943.69,1.0,0,5.44,0.7304,3285051.13,1176904.56,26465745.8,1470319.21,0.2751,0.8507,42,38,0.9286,42,37,6,0,none,0,0,0,0,0
02OSDWM8544F1ZQ,Coal,2,4,medium,430672070.14,0.9444,1,6.22,0.7479,81450305.66,25992111.31,704876602.93,41463329.58,0.3291,0.8627,42,35,0.9524,42,33,2,0,none,0,0,0,0,0
19QBDOH9176Z4Z7,Plastics,19,15,large,3676178192.66,1.0,0,4.22,0.7509,797185613.92,275399546.44,6164254114.22,342458561.9,0.3218,0.7109,30,44,0.9,30,44,3,0,none,0,0,1,0,0
14HQPTY2261F9ZE,Food Processing,14,1,small,35089814.52,0.9444,1,1.5,0.76,6684108.41,2167033.56,57358595.05,3374035.0,0.2926,0.8317,36,35,0.8333,36,35,5,0,none,0,0,0,0,0
10AHHWB2275Z4Z1,Steel,10,18,small,9151491.25,1.0,0,0.56,1.7519999999999996,5170449.13,0.0,14848087.94,824893.77,0.3006,1.4737,38,53,0.9211,38,53,4,1,fake_itc,1,0,0,0,0
32DBUPV9443M5Z6,Coal,32,15,small,3913317.64,0.8889,2,2.67,0.7668,667757.23,211280.14,5891013.29,368188.33,0.203,1.1669,36,49,0.8889,35,49,2,0,none,0,0,0,0,0
24IGCZV5996I1ZL,Coal,24,17,medium,920269148.53,1.0,0,2.61,0.7622,186479667.35,62320282.94,1608411481.66,89356193.43,0.2859,0.7096,38,37,0.8158,38,37,4,0,none,0,0,0,0,0
19LVZMK3114P5ZZ,Pharmaceuticals,19,15,small,14115144.85,0.9444,1,12.06,0.7243,7727001.0,1030876.08,66265335.61,3897960.92,0.9663999999999997,4.10055,29,50,0.931,29,50,2,1,sudden_spike,0,1,0,1,0
27KNZRO4137U8ZD,Automobile,27,9,small,46528292.52,1.0,0,2.33,0.7242,9983099.5,3685367.53,86444374.84,4802465.27,0.2771,0.9042,38,40,0.8421,38,40,6,0,none,0,0,0,0,0
36SDZPG1550D8ZH,Chemicals,36,16,large,3626754042.36,1.0,0,1.78,0.7508,813468586.72,274134074.1,6297216010.79,349845333.93,0.2803,1.0,33,44,0.9091,33,44,2,0,none,0,0,1,0,0
09KMMLD1571C5Z0,Agriculture,9,17,small,2123132.45,1.0,0,3.61,0.7696,534649.22,174116.16,4211342.0,233963.44,0.2823,1.1613,47,51,0.9149,47,51,1,0,none,0,0,0,0,0
10VPRWL4373K4ZP,Plastics,10,8,medium,440236340.77,1.0,0,1.61,0.7046,85608955.93,39135289.88,775970897.75,43109494.32,0.2391,0.8039,44,41,0.9318,43,41,6,0,none,0,0,0,0,0
24MXJZU6191S6ZG,Cement,24,4,small,23932547.57,1.0,0,4.78,0.7644,4592047.12,1501342.28,45889581.86,2549421.21,0.2861,1.3112,48,37,0.9167,48,37,1,0,none,0,0,0,0,0
05KREMZ3668V9ZY,Agriculture,5,21,medium,771431718.87,1.0,0,1.06,0.7638,123116164.72,41461947.56,1195367185.45,66409288.08,0.3113,1.0296,38,35,0.8421,38,35,4,0,none,0,0,0,0,0
18ABQXZ7406D8ZK,Trading,18,1,small,40214886.33,1.0,0,2.67,0.6817,6937519.38,3502612.18,68716694.89,3817594.16,0.2988,0.7987,46,38,0.913,46,38,3,0,none,0,0,0,0,0
12JDNOU1086H8ZJ,Construction,12,15,medium,486591974.22,0.7222,5,6.39,0.7649,82589753.83,26233454.25,622321377.27,47870875.17,0.3214,1.1432,32,35,0.9062,32,35,1,0,none,0,0,0,0,0
01XMHOB9929W5Z3,Trading,1,7,large,8680019127.94,0.9444,1,6.83,0.7364,1523449043.59,546420054.02,14316379604.76,382712522.52000004,0.3183,0.9294,42,31,0.8571,42,31,5,0,none,0,0,1,0,0
08JJHSA8308Y1Z5,Trading,8,25,medium,626711748.26,1.0,0,2.44,0.7458,106291922.73,34905100.53,1055363323.02,58631295.72,0.2863,1.0705,36,45,0.9444,36,43,5,0,none,0,0,0,0,0
08QQRSR8696J8ZC,Jewellery,8,24,small,45662134.99,1.0,0,4.17,0.7555,8387564.31,2813518.97,77684820.83,4315823.38,0.3094,1.3285,27,32,0.8889,27,32,3,0,none,0,0,0,0,0
24KFUWJ5219P5ZV,Steel,24,15,large,2266813135.05,0.9444,1,2.11,0.7887,547147524.98,140504216.94,4211283441.62,247722555.39,0.3195,1.3149,36,42,0.75,36,42,4,0,none,0,0,1,0,0
08WSZZU3705O6ZQ,Plastics,8,21,large,1975114919.79,1.0,0,9.44,0.7159,469683677.65,187742323.04,3847856406.58,213769800.37,0.2479,1.3222,35,48,0.8286,35,48,2,0,none,0,0,1,0,0
16AWOXF0893N2ZI,Pharmaceuticals,16,2,small,25645981.71,1.0,0,1.44,0.7317,6695523.96,2463058.28,48816935.38,2712051.97,0.2924,1.3498,37,33,0.8649,37,33,4,0,none,0,0,0,0,0
08XDLRT9471N2Z5,Paper,8,9,small,19785438.02,1.0,0,3.44,0.7709,4286005.43,1257032.6,35113226.61,1950734.81,0.2787,0.8807,41,36,0.8293,41,36,6,0,none,0,0,0,0,0
15YWCRO9331D8ZF,Automobile,15,21,medium,972538646.46,0.9444,1,6.28,0.7241,748379983.52,70411327.11,6019116721.21,354065689.48,0.9663999999999997,4.10055,48,29,0.9375,47,29,4,1,sudden_spike,0,1,1,1,0
29IZUFV5582Y3ZA,IT Services,29,5,large,5861939111.77,0.9444,1,7.33,0.7731,1303478466.6,372637921.69,10516948472.84,382712522.52000004,0.2646,0.8737,40,33,0.9,39,33,2,0,none,0,0,1,0,0
06CWDJU5021N9ZH,Electronics,6,16,small,19377870.74,0.9444,1,7.0,0.7492,3165235.65,1150463.14,32189103.78,1893476.69,0.2573,1.2677,52,41,0.8269,52,40,3,0,none,0,0,0,0,0
04LFPSX6360P7Z1,Steel,4,16,medium,471384212.89,0.8889,2,7.33,0.7322,81419772.73,28924703.5,734071871.95,45879492.0,0.3161,1.2564,44,32,0.8636,44,32,3,0,none,0,0,0,0,0
03IDDQP7352Q7ZG,Steel,3,21,medium,780514593.6,0.8333,3,0.22,1.4649,332140747.41,0.0,1268244294.86,84549619.66,0.2541,1.2602,40,36,0.9,39,36,4,1,fake_itc,1,0,0,0,0
33FLFIL4046L3Z4,Electronics,33,3,medium,138568596.62,0.9444,1,1.89,0.7847,27126858.09,7162092.48,240337974.73,14137527.93,0.2258,0.6094,45,37,0.9556,45,37,5,0,none,0,0,0,0,0
24TVOPO3136Y7ZD,Trading,24,20,small,6972827.16,0.9444,1,0.67,1.7519999999999996,9231117.78,550362.44,615466.85,36203.93,0.2925,1.0755,40,58,0.9,40,58,7,1,shell_company,1,0,0,0,0
07EMWJO1224R9ZB,IT Services,7,1,small,35729541.1,0.8889,2,5.67,1.7519999999999996,35973063.23,2593751.12,2922741.84,182671.36,0.2431,0.8099,40,39,0.9,40,39,1,1,shell_company,1,0,0,0,0
37IAWOK1607G7Z0,Cement,37,11,small,16958593.75,1.0,0,3.94,0.7611,3646692.04,1055391.24,29387238.02,1632624.33,0.2897,1.4013,47,40,0.8511,47,40,2,0,none,0,0,0,0,0
27YPWET0044T8Z0,IT Services,27,7,medium,158126632.7,0.8889,2,1.11,0.7269,23688679.11,9227772.14,229943343.89,14371458.99,0.3305,0.9389,33,34,0.8788,33,33,2,0,none,0,0,0,0,0
04HRMRB3503G3ZQ,Trading,4,11,small,25874495.77,0.9444,1,1.39,0.7376,5486140.74,1904076.43,42316190.07,2489187.65,0.3479,0.5518,38,29,0.9211,38,29,3,0,none,0,0,0,0,0
06DNFOR3374O2ZU,Paper,6,19,small,32726800.11,1.0,0,4.0,0.7569,7005231.79,2253011.89,54984374.8,3054687.49,0.279,1.0096,41,43,0.9024,39,42,4,0,none,0,0,0,0,0
04KZEYL6341N7Z7,Electronics,4,13,medium,758514585.14,0.8333,3,13.28,0.7623,125497669.43,36521720.18,1095531326.63,73035421.78,0.3316,0.7713,36,44,0.9167,34,44,3,0,none,0,0,0,0,0
11UBQNF7396E4ZG,Chemicals,11,9,small,30915151.29,1.0,0,2.61,0.7291,6741167.14,2427712.66,54562716.52,3031262.03,0.2302,1.0407,43,54,0.8372,43,54,2,0,none,0,0,0,0,0
27REUMT7495U6ZU,Chemicals,27,15,small,23225987.06,1.0,0,3.83,0.7938,5768546.63,1518508.62,44223498.36,2456861.02,0.26,1.056,51,37,0.8235,51,36,3,0,none,0,0,0,0,0
29HBNIL0808C9ZY,Cement,29,19,small,40007254.27,1.0,0,4.72,0.7588,8069294.05,2742574.32,70854655.11,3936369.73,0.2918,1.1375,37,43,0.9189,37,43,5,0,none,0,0,0,0,0
02LVQIM1018K2Z6,Food Processing,2,2,small,23012397.17,1.0,0,6.67,0.7561,4699807.4,1484129.27,38179023.55,2121056.86,0.3375,0.7926,49,38,0.9388,49,37,6,0,none,0,0,0,0,0
17NEJHK3576C6ZG,Plastics,17,10,small,42875180.48,1.0,0,3.11,0.7212,7603916.28,2962101.66,61088971.55,3393831.75,0.3407,1.108,41,51,0.8537,41,51,3,0,none,0,0,0,0,0
37PDCRX3661W2ZT,Plastics,37,21,medium,822525544.62,0.9444,1,1.11,0.7374,159649982.62,57376685.37,1306391461.46,76846556.56,0.2983,1.3939,37,46,0.8649,37,44,3,0,none,0,0,0,0,0
23VTRNQ4331G6Z5,Automobile,23,8,large,2394506556.5,1.0,0,5.22,0.7506,430287146.77,156679634.14,3735423661.3,207523536.74,0.2408,0.8559,45,31,0.8222,45,31,7,0,none,0,0,1,0,0
33UNOTN6865E3ZL,Food Processing,33,24,small,21721213.35,1.0,0,2.89,0.7408,4780800.68,1406169.82,38594648.05,2144147.11,0.3626,1.1599,44,31,0.8409,44,31,6,0,none,0,0,0,0,0
24GLHTL5384G6Z2,Cement,24,25,small,20329876.84,0.9444,1,0.72,0.7816,4062824.13,1251022.2,37227816.57,2189871.56,0.2921,0.8766,28,50,0.9643,28,50,5,0,none,0,0,0,0,0
14ZVUDG6851Q2ZS,Electronics,14,25,small,23567322.58,0.6111,7,6.06,0.747,2707741.57,977119.88,25027868.74,2275260.79,0.2754,1.0367,38,38,0.9211,37,38,1,1,missing_returns,0,0,0,0,0
05VCXVX9433M2ZX,Construction,5,1,small,6755989.97,0.9444,1,8.61,0.7413,1405890.63,489945.49,10954604.06,644388.47,0.3235,0.5995,42,49,0.9048,42,49,2,0,none,0,0,0,0,0
21IDAXM8746C1ZQ,Automobile,21,5,small,36907269.7,1.0,0,2.83,0.724,7534168.67,2899945.85,67609645.82,3756091.43,0.269,0.9017,41,38,0.878,41,38,5,0,none,0,0,0,0,0
14CHHBK7419T9ZB,Fertilizers,14,19,small,8891688.33,0.9444,1,4.22,0.7773,1988215.05,638749.12,15917128.5,936301.68,0.23,0.9164,37,30,0.8919,37,30,2,0,none,0,0,0,0,0
01PGKRC9055Q9ZB,Plastics,1,16,small,20570303.43,0.9444,1,2.17,0.7603,3428733.15,1066620.4,34753533.42,2044325.5,0.2777,0.9875,31,28,0.9677,30,28,4,0,none,0,0,0,0,0
09TJBGR1571L9ZV,Food Processing,9,25,medium,981778226.5,1.0,0,5.11,0.7476,225665774.65,76967875.1,1719502737.58,95527929.87,0.2895,1.1313,40,42,0.9,40,42,2,0,none,0,0,0,0,0
21EDSYA2783J9ZZ,Coal,21,9,small,33051223.94,0.9444,1,1.67,0.7721,7224650.12,2133472.89,57803222.77,3400189.57,0.2418,0.8628,37,36,0.9189,37,36,6,0,none,0,0,0,0,0
12WBRHU4449K3Z5,Coal,12,12,large,5673482681.81,0.8889,2,4.72,0.7117,1064317014.96,416058094.68,8474738927.49,382712522.52000004,0.2866,1.7255,37,35,0.9189,37,35,5,0,none,0,0,1,0,0
03SCPVO3063T7ZK,Cement,3,12,small,36887090.99,0.8889,2,3.78,0.755,10416235.88,3202174.12,71944290.8,4496518.18,0.2348,1.2256,44,36,0.8864,44,36,6,0,none,0,0,0,0,0
12PLQUB6457F1ZJ,Cement,12,2,small,13327778.26,0.9444,1,6.33,0.7476,2890013.56,988579.72,21781300.78,1281252.99,0.2656,0.9328,33,41,0.8788,32,41,5,0,none,0,0,0,0,0
12JYADL3401L7ZU,IT Services,12,8,large,1233220067.78,1.0,0,6.89,1.7519999999999996,1140513685.13,0.0,2167377499.9,120409861.11,0.3615,1.0891,41,57,0.9268,41,57,3,1,fake_itc,1,0,0,0,0
16NXDUS2669G2ZI,Electronics,16,15,small,36241754.93,1.0,0,1.89,0.7735,30894490.95,2250841.3,235880476.24,13104470.9,0.9663999999999997,4.10055,31,34,0.9355,31,33,6,1,sudden_spike,0,1,0,1,0
29RVIJB5887W3ZX,Fertilizers,29,8,small,11647057.82,0.9444,1,2.72,0.7387,2304036.17,860132.91,19224305.02,1130841.47,0.3297,0.7504,50,30,0.92,50,30,3,0,none,0,0,0,0,0
08UAOJU5603W8Z7,Paper,8,25,small,29595224.41,0.9444,1,9.11,0.7212,4531140.13,1794772.39,48093964.94,2829056.76,0.3183,0.8687,35,27,0.8286,35,27,2,0,none,0,0,0,0,0
11QLRIW7619N9ZD,Steel,11,17,small,9903539.83,0.9444,1,4.83,0.7299,1933429.16,755645.75,17337956.48,1019879.79,0.3257,0.8548,41,49,0.9268,40,49,2,0,none,0,0,0,0,0
37SIYXV2651J9ZF,Fertilizers,37,21,small,47197135.42,0.9444,1,5.94,0.7651,8658165.86,2748404.31,73871771.62,4345398.33,0.3752,1.3298,43,30,0.9302,43,30,4,0,none,0,0,0,0,0
06RSPVO8006S5ZN,Paper,6,20,medium,523136157.13,0.9444,1,0.89,0.7662,106888243.87,34084965.26,817241467.96,48073027.53,0.3192,0.946,45,36,0.8667,45,36,6,0,none,0,0,0,0,0
18HYMUR2004P8ZN,Agriculture,18,20,small,43351283.69,0.8889,2,2.83,0.7557,7564412.21,2377754.1,71336702.86,4458543.93,0.2509,0.9319,39,41,0.8974,39,41,5,0,none,0,0,0,0,0
24ZIKTN1214E2ZD,Trading,24,13,medium,447228006.17,1.0,0,2.89,0.7273,104628225.01,39228912.24,915884572.83,50882476.27,0.2211,0.8354,38,46,0.7895,38,46,3,0,none,0,0,0,0,0
33XVYSE1948P1ZF,Plastics,33,17,small,13554974.75,1.0,0,3.22,0.748,2748845.19,763203.18,21154188.84,1175232.71,0.3257,0.7891,36,27,0.8889,36,27,2,0,none,0,0,0,0,0
12BHPVR2011I6ZZ,Jewellery,12,2,small,29373518.91,0.8889,2,11.22,0.7285,5644471.81,2051382.9,45530428.85,2845651.8,0.2903,0.9613,49,45,0.9388,49,45,3,0,none,0,0,0,0,0
12OBNTH9619M6ZV,Jewellery,12,25,small,30918221.66,0.8889,2,10.78,0.7431,5154140.43,1705599.9,42191006.83,2636937.93,0.2895,0.9672,38,41,0.8421,38,41,1,0,none,0,0,0,0,0
17BBSUN1819K3ZZ,Trading,17,19,small,41757890.53,1.0,0,3.83,1.7519999999999996,41524877.46,3398227.51,3833284.44,212960.25,0.339,1.0679,37,40,0.8378,37,40,4,1,shell_company,1,0,0,0,0
16SHVJR9577W1Z4,IT Services,16,21,medium,787353923.91,1.0,0,1.56,0.7395,137480771.29,49095429.86,1372377171.18,76243176.18,0.2623,0.8478,55,32,0.8727,55,32,3,0,none,0,0,0,0,0
08SPEQQ8160W2ZM,Textile,8,15,small,9268700.39,1.0,0,5.11,0.7667,1976657.13,682868.73,16170253.33,898347.41,0.3089,0.7002,42,36,0.7857,42,36,2,0,none,0,0,0,0,0
07KUXWT0123V8Z7,Plastics,7,11,large,5136971788.18,0.9444,1,4.11,1.7519999999999996,3074505907.22,0.0,9556094894.49,382712522.52000004,0.2685,1.1848,36,34,0.8889,36,34,5,1,fake_itc,1,0,1,0,0
11ORWRU2492J4ZT,Trading,11,23,small,35839436.47,0.9444,1,13.67,0.71,5919509.05,2281335.1,61043956.02,3590820.94,0.2098,1.0395,51,33,0.902,50,33,3,0,none,0,0,0,0,0
16JYUHD6398Y3ZS,Pharmaceuticals,16,10,large,1711264924.09,0.8889,2,8.11,0.7716,314029024.99,101320737.47,2559595888.32,159974743.02,0.342,0.8835,43,36,0.8837,43,36,4,1,circular_trading,0,0,0,0,0
15RTFVH5217H4ZD,Fertilizers,15,8,medium,99866551.5,0.7222,5,5.78,0.7379,15092013.29,5345503.6,135965486.64,10458883.59,0.3323,0.8584,44,37,0.8182,44,37,3,1,missing_returns,0,0,0,0,0
11SCUAO9498P4ZS,Agriculture,11,10,medium,912540110.8,1.0,0,6.28,0.7518,155494885.8,47925921.99,1605779643.14,89209980.17,0.3135,1.0265,56,28,0.8929,56,28,1,0,none,0,0,0,0,0
21ONSYX1819M8ZL,Trading,21,2,small,29262169.7,1.0,0,7.06,0.7334,7062069.59,2494322.93,53698326.44,2983240.36,0.3128,0.9024,32,46,0.8438,32,46,5,0,none,0,0,0,0,0
37ZHZOM9841D6ZK,Cement,37,21,small,10937555.32,1.0,0,4.39,0.7714,2506710.39,715399.94,20308737.03,1128263.17,0.2765,0.7141,41,50,0.9024,41,50,4,0,none,0,0,0,0,0
11UOTEW8850V2ZL,Chemicals,11,16,small,13906260.02,0.9444,1,6.72,0.7386,2085536.65,815246.47,20609780.64,1212340.04,0.3074,1.2622,37,36,0.8378,37,36,3,0,none,0,0,0,0,0
13GTYHS0660D8ZT,Food Processing,13,13,medium,926950713.25,0.9444,1,7.83,1.7519999999999996,1086298340.95,66944974.24,79003585.59,4647269.74,0.3206,0.9384,42,27,0.9048,42,27,6,1,shell_company,1,0,0,0,0
23URQYJ2944T6Z0,Coal,23,25,small,33876533.09,0.9444,1,6.06,0.745,6644328.82,2375190.89,53426362.13,3142727.18,0.348,0.7233,44,40,0.9318,44,40,4,0,none,0,0,0,0,0
27GTWCL7050R9ZM,Chemicals,27,6,small,26976393.98,0.9444,1,5.11,0.7605,4730911.95,1443006.33,40676219.98,2392718.82,0.3046,0.8477,48,34,0.8958,47,33,3,0,none,0,0,0,0,0
22FPCNV4540O5ZB,Plastics,22,9,medium,758514258.69,0.9444,1,9.89,0.7385,123514122.49,44457039.94,1215492764.88,71499574.4,0.2712,1.0318,40,36,0.85,40,36,2,0,none,0,0,0,0,0
