gstin,years_old,annual_turnover,industry_encoded,state_encoded,size_encoded,companies_same_address,turnover_per_year,new_high_turnover,filing_rate,missing_returns,avg_delay_days,max_delay_days,late_filings_count,very_late_filings,max_consecutive_miss,delay_std,compliance_trend,total_itc_claimed,total_tax_collected,total_tax_paid,avg_itc_ratio,max_itc_ratio,itc_exceeds_tax,itc_volatility,itc_trend,net_tax_ratio,total_outward_supply,avg_monthly_sales,max_monthly_sales,min_monthly_sales,sales_volatility,spike_ratio,max_mom_jump,zero_sales_months,max_acceleration,seasonal_std,invoices_issued,invoices_received,total_issued_amt,total_received_amt,invoice_match_rate,unique_buyers,unique_suppliers,top_buyer_share,amount_imbalance,avg_invoice_size,is_fraud,fraud_type
18FFBQF9802V8ZN,24,6139387839.93,3,17,0,2,245575513.6,0,1.0,0,0.89,10,3,0,0,2.56,0.0,1548146694.95,2055066083.86,506919388.95,0.7488,0.8928,0,0.5481,-0.358,0.2467,12013163446.77,667397969.26,901219602.55,399931403.61,0.2372,0.8264,0.7498,0,736260731.48,96471206.03,23,46,55406820.87,109738380.49,0.8261,23,46,0.0764,0.329,2408992.21,0,none
08UUECL4476U2ZD,24,43360281.74,13,7,2,3,1734411.27,0,0.9444,1,3.5,39,6,1,1,9.32,-0.1667,36720588.58,49267028.63,2753894.73,0.7231,0.8966,0,2.4178,10.4914,0.0559,269603936.69,15859055.1,93021742.2,2498254.35,1.7048,15.3381,15.6261,0,107132110.53,539639.26,36,52,84936871.04,135162223.98,0.8611,36,52,0.0577,0.2282,2359357.53,1,sudden_spike
07ELKHG9485B9ZA,25,207995555.07,6,6,1,1,7999829.04,0,0.8889,2,5.61,40,9,1,1,9.54,-0.0833,140124806.28,49994946.01,0.0,2.7873,3.289,16,0.4807,-0.3178,0.0,328426590.34,20526661.9,30471251.37,10798571.51,0.2711,0.8789,1.1841,0,26914901.37,2471754.17,41,41,112235956.67,106707082.47,0.8293,41,41,0.0437,-0.0253,2737462.36,1,fake_itc
16FKBJZ2744X9Z5,7,48498049.52,3,15,2,6,6062256.19,0,0.9444,1,10.56,50,12,2,1,15.9,0.0833,9852949.64,12845305.32,2992355.67,0.7571,0.894,0,0.5387,0.1259,0.233,81856396.33,4815082.14,6402586.78,2431150.79,0.2584,0.9705,1.6336,0,6622153.15,242562.46,31,47,85056333.21,111333833.88,0.9032,31,47,0.0585,0.1338,2743752.68,0,none
24OTBPN8190F2ZE,13,44733791.08,5,23,2,2,3195270.79,0,0.9444,1,1.83,17,3,0,1,4.78,0.0833,9870722.4,13000645.04,3129922.63,0.7508,0.8883,0,0.4817,-0.3523,0.2408,73589807.28,4328812.19,5953768.42,2947817.18,0.2291,1.1565,1.0197,0,5082517.71,696524.55,41,29,118839227.94,59811501.09,0.9024,41,28,0.041,-0.3304,2898517.75,0,none
19PQKPN9272M3ZT,11,9421608587.0,2,18,0,6,785134048.92,0,0.9444,1,3.17,48,4,1,1,11.26,0.0833,1832438325.73,2590913495.29,758475169.57,0.7238,0.8826,0,0.5213,0.0641,0.2927,15508323899.58,912254347.03,1276298626.27,540719794.56,0.2728,0.9534,1.3056,0,1398034283.24,196874905.65,39,32,96258936.54,65556261.23,0.9487,39,32,0.0485,-0.1897,2468177.86,0,none
15QOCNN1302J3Z2,20,8263899489.39,16,14,0,4,393519023.3,0,0.9444,1,6.39,47,7,2,1,12.69,0.0833,1630630983.9,2143646419.0,513015435.06,0.7743,0.8872,0,0.3905,-0.3008,0.2393,12969105779.59,762888575.27,1174584362.32,440699641.8,0.2951,0.8991,1.2542,0,926081675.79,146562788.87,29,37,86811669.18,91707545.05,0.8276,29,37,0.0569,0.0274,2993505.83,0,none
01ROYCW2871J4ZV,22,300784706.55,1,0,1,8,13077595.94,0,0.7222,5,1.89,10,7,0,1,3.14,0.1667,58132426.07,76011393.41,17878967.34,0.7586,0.8896,0,0.5855,-0.1586,0.2352,393977463.09,30305958.7,41952496.37,15349431.25,0.3057,1.2067,1.1539,0,37141007.32,6417952.52,34,48,79197967.63,122736973.97,0.8529,34,48,0.063,0.2156,2329351.99,0,none
09XVCLH0762X8Z9,18,5611705.28,11,8,2,4,295352.91,0,0.9444,1,0.94,10,3,0,1,2.53,0.0833,1314872.05,1770833.64,455961.63,0.7521,0.8706,0,0.575,0.2573,0.2575,9894309.88,582018.23,814160.88,365930.24,0.2719,1.0544,0.9085,0,709535.8,61711.97,43,35,113577481.43,77643098.21,0.9302,43,35,0.0437,-0.1879,2641336.78,0,none
23XOVPD1387B6ZN,22,39445579.61,5,22,2,1,1715025.2,0,0.9444,1,6.67,46,10,2,1,12.33,0.0833,8396148.69,11633897.1,3237748.39,0.723,0.8913,0,0.5595,0.5566,0.2783,67834977.12,3990292.77,5708615.2,2604671.69,0.2656,1.0969,0.9402,0,4548557.8,506431.72,32,39,79911412.69,90296453.45,0.8438,32,39,0.0555,0.061,2497231.65,0,none
33KQEYW9880X6Z0,9,35661353.03,5,27,2,2,3566135.3,0,1.0,0,4.39,32,6,1,0,9.1,0.0,7943658.21,11409551.02,3465892.83,0.7079,0.8528,0,0.349,0.7541,0.3038,62588402.65,3477133.48,5108876.87,2141343.5,0.2523,1.0001,1.0742,0,3953056.45,138961.8,41,39,109023284.84,85444780.0,0.8537,40,39,0.0544,-0.1212,2659104.51,0,none
33BMFXJ8826M6ZR,25,32791123.45,6,27,2,3,1261197.06,0,0.8889,2,1.11,10,3,0,2,2.93,0.1667,25744446.6,536908.41,2743653.32,48.0206,57.4484,16,0.3623,0.0155,5.1101,2891626.74,180726.67,244628.28,99109.45,0.2488,0.666,0.8258,0,144800.8,24892.98,38,34,91404593.25,72849533.52,0.9474,38,34,0.0528,-0.113,2405384.03,1,shell_company
22ZNYCZ1921N6ZU,20,2040812056.26,11,21,0,2,97181526.49,0,0.9444,1,5.83,58,5,1,1,14.54,0.0833,386217545.85,517696552.31,131479006.47,0.7434,0.8759,0,0.5667,-0.4766,0.254,3079180014.06,181128236.12,291045729.09,104420032.64,0.3439,0.6801,1.3893,0,235276761.17,39641127.22,35,50,88304537.67,129346889.44,0.9714,34,50,0.0749,0.1886,2522986.79,0,none
19EBLNU6971N2ZV,22,733766549.86,0,18,1,4,31902893.47,0,0.5556,8,2.5,24,4,0,8,6.12,-0.8333,82462723.78,107711143.72,25248419.94,0.7617,0.8988,0,0.5363,-0.2254,0.2344,695790901.15,69579090.12,92466456.34,40457069.29,0.2244,0.8559,0.7648,0,69229072.11,0.0,43,41,94840645.87,130123049.45,0.907,43,41,0.101,0.1568,2205596.42,1,missing_returns
17IKKHD4969T5ZZ,10,22634631.2,15,16,2,2,2057693.75,0,0.9444,1,5.0,58,4,1,1,14.26,0.0833,4756890.78,6110101.35,1353210.59,0.7779,0.8975,0,0.36,0.6211,0.2215,36052179.57,2120716.45,3363898.01,1364033.84,0.3008,1.6231,1.1094,0,2369279.25,310324.25,47,31,111965301.34,76334620.05,0.9362,47,31,0.0428,-0.1892,2382240.45,0,none
20RMLFM9710Q6ZF,22,40715018.94,5,19,2,2,1770218.21,0,1.0,0,3.22,42,3,1,0,10.02,0.0,31486684.57,43761427.22,2850855.95,0.7803,1.7289,1,1.9531,17.4715,0.0651,299509713.04,16639428.5,105328131.29,2212923.05,1.8589,21.7259,21.5119,0,129820251.23,614933.68,31,51,90462187.93,142909001.07,0.7742,31,51,0.0551,0.2247,2918135.09,1,sudden_spike
01BZPTL8573M4ZJ,25,891191945.23,15,0,1,5,34276613.28,0,0.8889,2,0.5,4,3,0,2,1.29,0.1667,161912808.4,216821328.97,54908520.6,0.7405,0.8649,0,0.5625,-0.6128,0.2532,1264214685.84,79013417.86,115495280.37,45845260.49,0.317,0.8813,1.4973,0,130884986.5,13108702.78,47,36,123349842.7,96870307.24,0.8511,46,36,0.0468,-0.1202,2624464.74,0,none
14FUSMO9114Q9ZU,20,897419281.52,2,13,1,2,42734251.5,0,0.9444,1,14.56,60,7,4,1,24.19,0.0833,236343657.94,327450212.98,91106554.98,0.7221,0.8723,0,0.4392,0.142,0.2782,1679998659.06,98823450.53,134424721.59,59950927.58,0.2298,0.8798,1.2422,0,146513136.35,8914948.71,48,37,133789225.52,106837486.88,0.9167,48,37,0.0369,-0.112,2787275.53,0,none
32XLEWL7827P4ZR,3,272768899.11,2,26,1,5,68192224.78,0,0.9444,1,7.22,47,10,1,1,12.37,-0.1667,45581621.87,63262605.69,17680983.84,0.7141,0.8962,0,0.6819,0.2549,0.2795,462409727.33,27200572.2,39737924.4,13764108.65,0.3429,1.1622,1.1817,0,40137915.7,2267604.46,35,34,94852923.18,89015385.79,0.9143,35,33,0.0509,-0.0317,2710083.52,0,none
11XCDJD2434B4Z0,25,35385103.35,13,10,2,3,1360965.51,0,1.0,0,13.06,57,8,4,0,20.01,0.0,9315697.22,12184386.96,2868689.71,0.7814,0.8877,0,0.3974,0.5404,0.2354,61384834.4,3410268.58,5222054.31,1782126.07,0.2876,1.369,1.2687,0,4220010.82,338966.74,25,36,61472947.56,98842523.39,1.0,25,35,0.0807,0.2331,2458917.9,0,none
36TJAJT8947R4Z5,9,3393191.36,5,28,2,2,339319.14,0,1.0,0,7.5,47,7,2,0,15.24,0.0,663225.06,918643.06,255418.01,0.7245,0.8779,0,0.4682,-0.2276,0.278,6469184.58,359399.14,476273.46,248844.54,0.2273,1.1994,0.9105,0,422109.96,37317.14,34,40,94254185.08,105953004.51,0.9118,34,39,0.0512,0.0584,2772181.91,0,none
22RKEMD6035A2Z1,15,14487503.07,3,21,2,3,905468.94,0,1.0,0,4.28,28,7,0,0,8.12,0.0,3493051.93,4676554.96,1183503.03,0.7351,0.8823,0,0.6432,-0.5071,0.2531,25082285.1,1393460.28,2096956.23,732712.74,0.3221,1.0558,1.1055,0,1505033.12,111220.36,38,43,100308876.47,122325846.43,0.9737,38,43,0.0477,0.0989,2639707.28,0,none
07LIWHY4847B6ZO,25,1362323237.87,6,6,0,4,52397047.61,0,1.0,0,1.78,10,4,0,0,3.54,0.0,274800604.46,336469370.12,61668765.68,0.8215,0.8985,0,0.5473,0.0222,0.1833,2434146866.21,135230381.46,201363459.24,79948834.29,0.309,1.1681,0.8648,0,200428217.56,31379379.96,39,34,88075238.47,87547588.94,0.8462,39,34,0.0545,-0.003,2258339.45,0,none
08FADDR5267F2ZK,4,46586584.08,16,7,2,1,9317316.82,0,1.0,0,4.5,38,7,1,0,10.3,0.0,7740668.27,10059591.81,2318923.54,0.7846,0.8965,0,0.6405,1.0841,0.2305,81813376.1,4545187.56,6933958.43,2391767.22,0.3194,0.8557,1.6091,0,7584100.5,282367.59,40,40,112044471.11,96023466.38,0.825,40,40,0.0442,-0.077,2801111.78,0,none
22XJYFP8263V2ZC,18,19787402.06,10,21,2,4,1041442.21,0,1.0,0,4.83,57,8,1,0,13.27,0.0,3264107.45,4511673.66,1247566.22,0.7524,0.8966,0,0.6306,-0.2237,0.2765,32052673.08,1780704.06,2779507.41,1040052.04,0.3547,0.9337,1.549,0,3428535.05,443749.58,45,44,105252757.48,101292178.22,0.9111,45,44,0.0448,-0.0192,2338950.17,0,none
21IWVCY6874X9ZR,15,37089258.29,4,20,2,3,2318078.64,0,0.9444,1,2.39,24,5,0,1,5.86,-0.1667,5746107.33,7937187.73,2191080.4,0.7215,0.8526,0,0.4874,0.5383,0.2761,58154976.8,3420880.99,5492463.49,1887384.21,0.3451,0.7878,0.9466,0,4134826.01,503006.0,38,39,91181458.57,92032465.0,0.8684,38,39,0.0539,0.0046,2399512.07,0,none
11WVCWG4630K3Z5,12,373321901.01,1,10,1,2,28717069.31,0,0.5556,8,6.06,56,5,1,7,14.02,-0.8333,38351661.69,52211523.06,13859861.38,0.7305,0.8059,0,0.3633,0.0221,0.2655,346609839.85,34660983.98,45647616.03,19847382.32,0.2607,1.0147,0.7014,0,23568604.66,0.0,42,38,119763393.69,97678389.67,0.7857,42,37,0.0412,-0.1016,2851509.37,1,missing_returns
20SHAYC7476U8Z2,3,21411254.18,15,19,2,4,5352813.54,0,1.0,0,8.83,59,8,1,0,15.63,0.0,5742785.72,7623868.45,1881082.75,0.7635,0.8723,0,0.4661,0.4283,0.2467,45099534.97,2505529.72,3192896.93,1121619.47,0.2275,1.0399,1.0121,0,1858513.59,169687.46,48,34,123635817.32,92551285.22,0.8542,48,34,0.0403,-0.1438,2575746.19,0,none
10RJOIZ5343H2ZM,4,953333682.37,0,9,1,2,190666736.47,0,0.8889,2,0.89,9,4,0,2,2.35,-0.3333,158874743.74,226852571.83,67977828.06,0.7103,0.8568,0,0.5547,-0.2805,0.2997,1471621900.74,91976368.8,132041910.11,52599535.48,0.2949,0.9414,1.4453,0,142765447.42,10738896.74,40,36,98132914.24,95938054.22,0.9,40,36,0.0508,-0.0113,2453322.86,0,none
06ETHPT5982L3ZT,23,15166943.69,15,5,2,6,631955.99,0,1.0,0,5.44,58,8,1,0,13.56,0.0,3285051.13,4461955.68,1176904.56,0.7304,0.8714,0,0.79,0.0464,0.2638,26465745.8,1470319.21,2222001.88,846324.91,0.2751,0.8507,1.0347,0,1320748.89,131327.36,42,38,114317533.02,93623515.21,0.9286,42,37,0.043,-0.0995,2721846.02,0,none
02OSDWM8544F1ZQ,4,430672070.14,4,1,1,2,86134414.03,0,0.9444,1,6.22,50,4,2,1,15.88,0.0833,81450305.66,107442417.02,25992111.31,0.7479,0.8861,0,0.7394,0.5943,0.2419,704876602.93,41463329.58,62062439.31,21990644.13,0.3291,0.8627,1.295,0,57707866.98,6274531.77,42,35,83702527.94,78496122.17,0.9524,42,33,0.0557,-0.0321,1992917.33,0,none
19QBDOH9176Z4Z7,15,3676178192.66,13,18,0,3,229761137.04,0,1.0,0,4.22,38,3,1,0,10.47,0.0,797185613.92,1072585160.36,275399546.44,0.7509,0.8871,0,0.5587,0.3868,0.2568,6164254114.22,342458561.9,502511316.37,189399768.53,0.3218,0.7109,1.0036,0,550098206.77,61014838.31,30,44,82391399.83,122518366.4,0.9,30,44,0.0603,0.1958,2746379.99,0,none
14HQPTY2261F9ZE,1,35089814.52,8,13,2,5,17544907.26,0,0.9444,1,1.5,10,4,0,1,3.35,0.0833,6684108.41,8851142.0,2167033.56,0.76,0.8914,0,0.3535,-0.3707,0.2448,57358595.05,3374035.0,5157496.42,2064385.39,0.2926,0.8317,1.1158,0,5678011.46,140320.39,36,35,85850643.78,91715063.35,0.8333,36,35,0.0533,0.033,2384740.1,0,none
10AHHWB2275Z4Z1,18,9151491.25,14,9,2,4,481657.43,0,1.0,0,0.56,6,3,0,0,1.5,0.0,5170449.13,2203404.79,0.0,2.3433,2.7995,18,0.5569,0.8775,0.0,14848087.94,824893.77,1269356.52,516097.06,0.3006,1.4736,1.0955,0,980907.58,203473.66,38,53,105922922.08,165400236.46,0.9211,38,53,0.2577,0.2192,2787445.32,1,fake_itc
32DBUPV9443M5Z6,15,3913317.64,4,26,2,2,244582.35,0,0.8889,2,2.67,14,5,0,2,4.64,0.1667,667757.23,879037.38,211280.14,0.7668,0.8856,0,0.5509,0.1296,0.2404,5891013.29,368188.33,498398.3,252861.66,0.203,1.1669,0.6257,0,386736.27,23830.09,36,49,83364650.07,128777178.66,0.8889,35,49,0.0596,0.2141,2315684.72,0,none
24IGCZV5996I1ZL,17,920269148.53,4,23,1,4,51126063.81,0,1.0,0,2.61,27,4,0,0,6.63,0.0,186479667.35,248799950.29,62320282.94,0.7622,0.8992,0,0.458,-0.284,0.2505,1608411481.66,89356193.43,137403531.56,52236967.45,0.2859,0.7096,1.1624,0,110381061.49,8767915.41,38,37,89846681.68,101118786.61,0.8158,38,37,0.0547,0.059,2364386.36,0,none
19LVZMK3114P5ZZ,15,14115144.85,12,18,2,2,882196.55,0,0.9444,1,12.06,57,6,4,1,22.58,0.0833,7727001.0,12341335.48,1030876.08,0.7243,0.9836,0,1.689,8.4765,0.0835,66265335.61,3897960.92,20332702.22,752374.13,1.6113,11.1767,18.5117,0,19573966.37,67597.62,29,50,79995695.62,101071650.5,0.931,29,50,0.0617,0.1164,2758472.26,1,sudden_spike
27KNZRO4137U8ZD,9,46528292.52,1,24,2,6,4652829.25,0,1.0,0,2.33,10,6,0,0,3.79,0.0,9983099.5,13668467.03,3685367.53,0.7242,0.8747,0,0.5141,0.0738,0.2696,86444374.84,4802465.27,6930046.65,2482659.68,0.2771,0.9042,1.468,0,5931987.79,232476.56,38,40,91511417.58,85468935.18,0.8421,38,40,0.054,-0.0341,2408195.2,0,none
36SDZPG1550D8ZH,16,3626754042.36,3,28,0,2,213338473.08,0,1.0,0,1.78,11,5,0,0,3.47,0.0,813468586.72,1087602660.81,274134074.1,0.7508,0.8614,0,0.3961,0.3304,0.2521,6297216010.79,349845333.93,518509054.79,222514125.38,0.2803,1.0,0.9575,0,509517567.74,37357294.16,33,44,84831495.31,106167795.73,0.9091,33,44,0.0589,0.1117,2570651.37,0,none
09KMMLD1571C5Z0,17,2123132.45,0,8,2,1,117951.8,0,1.0,0,3.61,32,6,1,0,8.0,0.0,534649.22,708765.36,174116.16,0.7696,0.8948,0,0.5983,1.3735,0.2457,4211342.0,233963.44,310871.45,119119.36,0.2823,1.1613,1.6021,0,366211.61,14681.24,47,51,123321150.0,119792754.86,0.9149,47,51,0.0396,-0.0145,2623854.26,0,none
10VPRWL4373K4ZP,8,440236340.77,13,9,1,6,48915148.97,0,1.0,0,1.61,20,3,0,0,4.82,0.0,85608955.93,124744245.8,39135289.88,0.7046,0.895,0,0.5261,0.2063,0.3137,775970897.75,43109494.32,56917722.23,22259028.3,0.2391,0.8039,0.6015,0,43549953.72,4245751.63,44,41,100920391.88,90488125.24,0.9318,43,41,0.0537,-0.0545,2293645.27,0,none
24MXJZU6191S6ZG,4,23932547.57,2,23,2,1,4786509.51,0,1.0,0,4.78,53,5,1,0,12.62,0.0,4592047.12,6093389.39,1501342.28,0.7644,0.8839,0,0.5566,0.564,0.2464,45889581.86,2549421.21,3580119.42,1246213.93,0.2861,1.3112,1.6671,0,3616937.22,243878.45,48,37,118940001.17,91787663.01,0.9167,48,37,0.0407,-0.1289,2477916.69,0,none
05KREMZ3668V9ZY,21,771431718.87,0,4,1,4,35065078.13,0,1.0,0,1.06,8,3,0,0,2.48,0.0,123116164.72,164578112.28,41461947.56,0.7638,0.8989,0,0.4559,-0.1446,0.2519,1195367185.45,66409288.08,113631059.14,39950311.58,0.3113,1.0296,1.4218,0,113203960.66,6015414.94,38,35,91792523.57,101466459.53,0.8421,38,35,0.0533,0.0501,2415592.73,0,none
18ABQXZ7406D8ZK,1,40214886.33,16,17,2,3,20107443.16,0,1.0,0,2.67,16,6,0,0,4.69,0.0,6937519.38,10440131.53,3502612.18,0.6817,0.8047,0,0.7405,-0.2796,0.3355,68716694.89,3817594.16,5893923.66,2304695.76,0.2988,0.7987,1.4734,0,5725936.15,493764.69,46,38,93912754.79,97747841.82,0.913,46,38,0.0516,0.02,2041581.63,0,none
12JDNOU1086H8ZJ,15,486591974.22,5,11,1,1,30411998.39,0,0.7222,5,6.39,59,4,2,2,16.72,0.1667,82589753.83,108823208.07,26233454.25,0.7649,0.8968,0,0.4517,0.6301,0.2411,622321377.27,47870875.17,70261131.45,28932394.15,0.3214,1.1432,1.3262,0,72624450.89,5142096.98,32,35,86695621.19,97972872.27,0.9062,32,35,0.057,0.0611,2709238.16,0,none
01XMHOB9929W5Z3,7,8680019127.94,16,0,0,5,1085002390.99,0,0.9444,1,6.83,53,6,2,1,15.51,-0.1667,1523449043.59,2069869097.6,546420054.02,0.7364,0.8886,0,0.6468,1.6411,0.264,14316379604.76,842139976.75,1243003997.38,500645233.04,0.3183,0.9294,1.1073,0,942139699.89,116104975.39,42,31,105800214.48,92381827.35,0.8571,42,31,0.0469,-0.0677,2519052.73,0,none
08JJHSA8308Y1Z5,25,626711748.26,16,7,1,5,24104298.01,0,1.0,0,2.44,22,6,0,0,5.47,0.0,106291922.73,141197023.24,34905100.53,0.7458,0.8996,0,0.7348,0.6616,0.2472,1055363323.02,58631295.72,89752495.48,34055166.67,0.2863,1.0705,1.3697,0,82728349.3,6172463.61,36,45,75208663.68,111144762.22,0.9444,36,43,0.0636,0.1928,2089129.55,0,none
08QQRSR8696J8ZC,24,45662134.99,10,7,2,3,1826485.4,0,1.0,0,4.17,59,5,1,0,13.83,0.0,8387564.31,11201083.3,2813518.97,0.7555,0.8891,0,0.6435,1.9387,0.2512,77684820.83,4315823.38,6632017.64,2516612.89,0.3094,1.3285,1.4553,0,6888313.92,677154.71,27,32,68117368.08,66694240.86,0.8889,27,32,0.0672,-0.0106,2522865.48,0,none
24KFUWJ5219P5ZV,15,2266813135.05,14,23,0,4,141675820.94,0,0.9444,1,2.11,10,7,0,1,3.27,0.0833,547147524.98,687651741.9,140504216.94,0.7887,0.8986,0,0.6065,-0.5456,0.2043,4211283441.62,247722555.39,337398689.81,122317864.85,0.3195,1.3149,1.6118,0,375826137.8,41662311.7,36,42,91930650.83,89294636.79,0.75,36,42,0.0527,-0.0145,2553629.19,0,none
08WSZZU3705O6ZQ,21,1975114919.79,13,7,0,2,89777950.9,0,1.0,0,9.44,51,8,3,0,17.32,0.0,469683677.65,657426000.71,187742323.04,0.7159,0.8753,0,0.5107,1.0991,0.2856,3847856406.58,213769800.37,287720637.09,107240481.59,0.2479,1.3222,1.6456,0,282228856.26,14194587.23,35,48,98099084.0,122186029.45,0.8286,35,48,0.0504,0.1093,2802830.97,0,none
16AWOXF0893N2ZI,2,25645981.71,12,15,2,4,8548660.57,0,1.0,0,1.44,12,5,0,0,3.4,0.0,6695523.96,9158582.22,2463058.28,0.7317,0.8962,0,0.471,0.1217,0.2689,48816935.38,2712051.97,3829465.33,1355470.14,0.2924,1.3498,1.4077,0,3160772.76,451224.08,37,33,98456614.42,74200172.76,0.8649,37,33,0.0506,-0.1405,2660989.58,0,none
08XDLRT9471N2Z5,9,19785438.02,11,7,2,6,1978543.8,0,1.0,0,3.44,34,7,1,0,8.08,0.0,4286005.43,5543038.07,1257032.6,0.7709,0.8886,0,0.5349,0.4734,0.2268,35113226.61,1950734.81,2849197.03,1080308.67,0.2787,0.8807,0.9682,0,2191079.62,368536.42,41,36,103209129.61,91762066.92,0.8293,41,36,0.0461,-0.0587,2517295.84,0,none
15YWCRO9331D8ZF,21,972538646.46,1,14,1,4,44206302.11,0,0.9444,1,6.28,51,7,1,1,13.75,0.0833,748379983.52,1219644083.27,70411327.11,0.7241,0.8404,0,1.683,17.4923,0.0577,6019116721.21,354065689.48,2578581068.84,83285142.16,1.8085,13.8155,8.5216,0,3224477522.89,8751522.87,48,29,118116605.16,59118237.58,0.9375,47,29,0.0535,-0.3329,2460762.61,1,sudden_spike
