gstin,is_fraud,fraud_type,graph_risk_score,pagerank_score,cycle_risk,in_degree,out_degree,total_received,total_sent,imbalance_risk,clustering_coef,in_circular_ring,in_shell_cluster,graph_predicted_fraud
15YWCRO9331D8ZF,1,sudden_spike,33.4,13.61,0,29,47,59118237.58,118116605.16,0.0,0.0179,0,1.0,0
29IZUFV5582Y3ZA,0,none,24.19,36.77,0,33,39,89847792.61,109978490.54,0.0,0.0168,0,,0
06CWDJU5021N9ZH,0,none,40.42,41.69,0,40,52,105754865.59,144984873.47,0.0,0.0183,0,1.0,1
04LFPSX6360P7Z1,0,none,37.82,31.28,0,32,44,85551776.24,106301946.83,0.0,0.0182,0,1.0,0
03IDDQP7352Q7ZG,1,fake_itc,37.68,30.7,0,36,39,87497730.94,87474952.41,0.01,0.0177,0,1.0,0
33FLFIL4046L3Z4,0,none,34.93,19.74,0,37,45,67589585.96,111217482.55,0.0,0.0175,0,1.0,0
24TVOPO3136Y7ZD,1,shell_company,48.2,65.79,0,58,40,140872304.26,104304162.41,7.01,0.013,0,1.0,1
07EMWJO1224R9ZB,1,shell_company,23.23,32.9,0,39,40,96970849.0,103646760.27,0.0,0.0175,0,,0
37IAWOK1607G7Z0,0,none,21.5,26.0,0,40,47,81554344.45,118874684.02,0.0,0.0136,0,,0
27YPWET0044T8Z0,0,none,22.53,28.37,0,33,33,81634627.55,75062026.16,1.75,0.0182,0,,0
04HRMRB3503G3ZQ,0,none,35.54,22.15,0,29,38,75497115.37,109669058.68,0.0,0.0163,0,1.0,0
06DNFOR3374O2ZU,0,none,42.92,48.38,0,42,39,116996010.48,100493988.34,3.28,0.0167,0,1.0,1
04KZEYL6341N7Z7,0,none,44.11,47.83,0,44,34,116373923.91,81315208.8,8.62,0.0167,0,1.0,1
11UBQNF7396E4ZG,0,none,32.09,63.96,0,54,43,133988644.12,109887982.64,4.39,0.0175,0,,0
27REUMT7495U6ZU,0,none,37.239999999999995,28.97,0,36,51,88550572.19,124636692.63,0.0,0.0147,0,1.0,0
29HBNIL0808C9ZY,0,none,41.620000000000005,41.77,0,43,37,106760103.98,86332117.81,4.73,0.013,0,1.0,1
02LVQIM1018K2Z6,0,none,39.89,39.56,0,37,49,101733192.37,118146234.14,0.0,0.0183,0,1.0,0
17NEJHK3576C6ZG,0,none,46.7,59.25,0,51,41,132263531.63,96002546.94,7.55,0.0157,0,1.0,1
37PDCRX3661W2ZT,0,none,46.3,54.31,0,44,37,121352680.94,78533041.95,10.9,0.0149,0,1.0,1
23VTRNQ4331G6Z5,0,none,36.59,26.34,0,31,45,84572236.67,116769967.94,0.0,0.0154,0,1.0,0
33UNOTN6865E3ZL,0,none,35.68,22.72,0,31,44,73437147.95,115099468.56,0.0,0.017,0,1.0,0
24GLHTL5384G6Z2,0,none,45.4,48.19,0,50,28,114316852.37,68434128.49,13.41,0.0147,0,1.0,1
14ZVUDG6851Q2ZS,1,missing_returns,25.05,36.63,0,38,37,101000250.51,85673250.55,3.58,0.0118,0,,0
05VCXVX9433M2ZX,0,none,29.49,54.03,0,49,42,124494673.18,104108649.6,3.92,0.0175,0,,0
21IDAXM8746C1ZQ,0,none,40.03,40.13,0,38,41,96091813.37,106139057.69,0.0,0.0159,0,1.0,1
14CHHBK7419T9ZB,0,none,21.45,25.81,0,30,37,82341531.81,100502216.5,0.0,0.019,0,,0
01PGKRC9055Q9ZB,0,none,35.71,22.83,0,28,30,70752916.43,71582237.48,0.0,0.0143,0,1.0,0
09TJBGR1571L9ZV,0,none,27.12,44.79,0,42,40,109062805.86,92075597.62,3.69,0.0148,0,,0
21EDSYA2783J9ZZ,0,none,36.519999999999996,26.08,0,36,37,80557013.41,92024573.05,0.0,0.0145,0,1.0,0
12WBRHU4449K3Z5,0,none,41.53,40.2,0,35,37,100931916.25,77886141.23,5.92,0.0149,0,1.0,1
03SCPVO3063T7ZK,0,none,37.75,30.92,0,36,44,93648512.63,93257528.94,0.08,0.0133,0,1.0,0
12PLQUB6457F1ZJ,0,none,43.67,47.27,0,41,32,110207486.93,80454773.96,7.4,0.0153,0,1.0,1
12JYADL3401L7ZU,1,fake_itc,47.9,65.54,0,57,41,139484941.41,107066009.65,6.06,0.0158,0,1.0,1
16NXDUS2669G2ZI,1,sudden_spike,77.41,46.57,100,33,31,110934996.87,96137019.47,3.08,0.0139,1,1.0,1
29RVIJB5887W3ZX,0,none,36.739999999999995,26.96,0,30,50,74705684.81,107924073.95,0.0,0.0209,0,1.0,0
08UAOJU5603W8Z7,0,none,20.88,23.51,0,27,35,69510956.48,89873816.47,0.0,0.0137,0,,0
11QLRIW7619N9ZD,0,none,32.3,63.97,0,49,40,135464235.11,107420543.15,5.22,0.0181,0,,0
37SIYXV2651J9ZF,0,none,36.18,24.72,0,30,43,74504248.73,106276649.72,0.0,0.019,0,1.0,0
06RSPVO8006S5ZN,0,none,36.629999999999995,26.53,0,36,45,86299583.49,120289263.56,0.0,0.0146,0,1.0,0
18HYMUR2004P8ZN,0,none,41.08,42.13,0,41,39,106194775.75,95790972.26,2.17,0.0166,0,1.0,1
24ZIKTN1214E2ZD,0,none,44.69,54.96,0,46,38,116998850.23,98391403.64,3.78,0.0167,0,1.0,1
33XVYSE1948P1ZF,0,none,21.03,24.13,0,27,36,78710696.52,87591411.14,0.0,0.0133,0,,0
12BHPVR2011I6ZZ,0,none,43.15,52.61,0,45,49,122399792.62,141243670.74,0.0,0.0148,0,1.0,1
12OBNTH9619M6ZV,0,none,27.72,47.61,0,41,38,106587070.76,91557033.4,3.28,0.0144,0,,0
17BBSUN1819K3ZZ,1,shell_company,41.739999999999995,45.23,0,40,37,102913022.25,94782080.33,1.72,0.0162,0,1.0,1
16SHVJR9577W1Z4,0,none,37.6,30.41,0,32,55,86595525.32,144358813.09,0.0,0.019,0,1.0,0
08SPEQQ8160W2ZM,0,none,22.57,30.28,0,36,42,91266902.92,107381327.83,0.0,0.0183,0,,0
07KUXWT0123V8Z7,1,fake_itc,38.9,35.16,0,34,36,92310053.58,90338908.09,0.44,0.019,0,1.0,0
11ORWRU2492J4ZT,0,none,36.93,27.73,0,33,50,81736382.8,110170444.29,0.0,0.017,0,1.0,0
16JYUHD6398Y3ZS,1,circular_trading,79.73,58.91,100,36,43,132500173.8,151241523.84,0.0,0.014,1,1.0,1
15RTFVH5217H4ZD,1,missing_returns,39.15,36.62,0,37,44,99570807.27,110336160.67,0.0,0.0193,0,1.0,0
11SCUAO9498P4ZS,0,none,19.33,17.34,0,28,56,68689140.09,147618021.83,0.0,0.0152,0,,0
21ONSYX1819M8ZL,0,none,44.11,47.55,0,46,32,111335793.1,77093357.08,8.88,0.0195,0,1.0,1
37ZHZOM9841D6ZK,0,none,46.67,59.46,0,50,41,125993288.9,92609285.19,7.21,0.0183,0,1.0,1
11UOTEW8850V2ZL,0,none,38.8,35.2,0,36,37,92063059.05,98352117.13,0.0,0.0156,0,1.0,0
13GTYHS0660D8ZT,1,shell_company,35.44,21.78,0,27,42,73543816.5,102475074.77,0.0,0.0102,0,1.0,0
23URQYJ2944T6Z0,0,none,37.879999999999995,31.52,0,40,44,87160135.66,102247453.82,0.0,0.0178,0,1.0,0
27GTWCL7050R9ZM,0,none,38.7,34.79,0,33,47,89256849.72,126795764.7,0.0,0.0152,0,1.0,0
22FPCNV4540O5ZB,0,none,21.83,27.33,0,36,40,79431906.87,102304253.85,0.0,0.0161,0,,0
03BIBZY0904Y3Z0,1,missing_returns,42.92,51.69,0,48,49,116775485.38,122969692.92,0.0,0.0165,0,1.0,1
13CZWDW1931H1ZB,0,none,39.55,38.21,0,44,47,104938025.14,121029415.19,0.0,0.0151,0,1.0,0
13VGJHY7184Y1ZP,1,fake_itc,25.11,40.45,0,40,52,107808333.46,142718435.95,0.0,0.0153,0,,0
22SBTKG2805J4ZU,0,none,41.18,37.1,0,43,33,98704539.18,71477944.4,7.62,0.014,0,1.0,1
17FHBYW9644L7Z7,1,sudden_spike,59.71,38.85,100,34,47,94997681.99,158902474.11,0.0,0.012,1,,1
06TMWHS8959R9ZI,0,none,39.22,36.87,0,36,42,97958574.9,110007278.41,0.0,0.0116,0,1.0,0
37LJNVB3600Z9ZN,0,none,40.65,42.58,0,40,41,100890295.36,116552808.27,0.0,0.0157,0,1.0,1
37AYZDZ4262H9ZU,0,none,33.69,61.21,0,46,30,127826068.86,76196920.64,13.55,0.0133,0,,0
09JWMUS7323B4ZJ,1,shell_company,39.56,35.27,0,36,36,94757499.11,82475694.21,2.98,0.0153,0,1.0,0
14HFFOG5937P8Z3,0,none,36.64,26.57,0,27,49,72020751.26,135947964.56,0.0,0.0155,0,1.0,0
18MXOQB0896Y1Z0,0,none,29.37,55.59,0,51,44,131601446.81,120233086.34,1.89,0.0166,0,,0
07NJQRQ4405A1Z7,0,none,38.59,34.36,0,46,41,89903012.18,123164401.07,0.0,0.0172,0,1.0,0
23RUXCC1158I7ZF,0,none,24.63,37.48,0,37,32,95047549.45,90321485.45,1.05,0.0175,0,,0
08HVCZQ0434U1ZK,0,none,36.730000000000004,26.92,0,35,31,77863303.76,89265729.19,0.0,0.0186,0,1.0,0
19ZZXXF9652C5Z8,0,none,46.65,59.6,0,52,40,135643669.51,100451536.44,7.01,0.0141,0,1.0,1
07PTSKC1283R6ZY,0,none,44.3,50.74,0,38,40,116716560.36,88155707.43,6.48,0.0133,0,1.0,1
12BLVIT9370I8Z5,0,none,45.67,56.68,0,50,43,135877383.66,104472379.91,6.01,0.0164,0,1.0,1
22PJUHG0237E7ZU,0,none,32.79,56.86,0,51,30,122293873.02,71302357.42,14.3,0.0167,0,,0
12TCCLO5105T6ZY,0,none,42.010000000000005,48.04,0,44,47,103531726.35,122128009.8,0.0,0.0134,0,1.0,1
36OZGNR1221F7ZR,1,circular_trading,85.69,74.1,100,42,39,161588850.69,112820310.11,8.65,0.0151,1,1.0,1
08SMQLD0383K8ZV,0,none,29.29,46.54,0,43,32,107849013.9,70437420.11,10.62,0.0148,0,,0
20YFIZZ2645H6ZY,1,shell_company,38.61,34.42,0,33,36,89027231.14,90138811.25,0.0,0.0162,0,1.0,0
19ZETAS9278C7Z5,0,none,39.760000000000005,36.99,0,38,39,94418544.4,85597091.71,2.06,0.0137,0,1.0,0
23LJLPP5984B6Z8,0,none,42.16,41.18,0,38,32,101490483.47,73939603.3,7.45,0.0145,0,1.0,1
06QBZRK7940I4Z6,0,none,36.019999999999996,24.06,0,31,44,77420646.29,108722435.92,0.0,0.0148,0,1.0,0
12KUPNI0149D3ZW,0,none,27.66,46.18,0,48,44,118523608.92,96880923.04,4.47,0.0153,0,,0
12MLSIH8186V3ZP,0,none,28.91,38.25,0,37,25,101902464.12,54532058.79,17.37,0.018,0,,0
15GKEQL0615M1ZN,0,none,53.36,67.08,0,56,32,153017115.91,65988019.03,26.38,0.0167,0,1.0,1
19CWEIL2856T7ZZ,0,none,26.23,39.96,0,40,35,105168972.62,84323469.32,4.94,0.0191,0,,0
32RUXPR3213E9ZY,0,none,37.09,28.36,0,35,38,89523214.28,91085113.04,0.0,0.0178,0,1.0,0
16QSQZO4134B6ZA,0,none,38.36,29.99,0,38,29,86169112.1,73445074.56,3.46,0.0185,0,1.0,0
17QKMSL1572B5ZO,0,none,37.1,28.41,0,33,44,83389275.94,102488128.9,0.0,0.0161,0,1.0,0
27MNOGO9577O9ZN,0,none,35.019999999999996,20.08,0,30,45,69718338.17,103603850.67,0.0,0.0141,0,1.0,0
10WAGWC8182X6Z1,1,sudden_spike,45.18,55.57,0,46,38,121199307.14,96374004.7,5.15,0.0135,0,1.0,1
29BJHOI7228V2ZI,0,none,38.989999999999995,35.95,0,35,48,100680958.47,108722416.55,0.0,0.0156,0,1.0,0
23WGSVT6452N7Z2,1,missing_returns,27.6,50.38,0,46,51,112001923.68,139195831.92,0.0,0.0172,0,,0
17TSWLM5880O6ZE,0,none,39.269999999999996,32.38,0,32,31,92297356.3,74679742.87,4.72,0.0154,0,1.0,0
09IHODW7870U8ZB,0,none,44.36,50.8,0,47,31,120036688.94,90140582.06,6.63,0.0186,0,1.0,1
14FRDQE9262L3ZD,0,none,23.72,34.87,0,36,41,94034884.98,103643701.68,0.0,0.0144,0,,0
14RSAMD2606D7ZI,0,none,43.16,48.53,0,44,45,126475596.55,104935012.72,4.11,0.0158,0,1.0,1
04CJHJV8660S1ZK,0,none,41.81,41.52,0,38,34,107356695.67,83481056.29,5.72,0.0164,0,1.0,1
37KRWCC7539K3ZP,0,none,45.5,53.73,0,47,35,124649043.26,88218660.66,8.26,0.0241,0,1.0,1
24PURWR3557J1ZP,0,none,41.36,43.12,0,40,37,101737362.41,91108041.36,2.33,0.0144,0,1.0,1
03NZZYD8536Y8ZE,0,none,39.1,36.4,0,39,43,95439774.63,110303256.63,0.0,0.0164,0,1.0,0
37BUNQN4705T3ZR,1,fake_itc,40.260000000000005,41.03,0,46,41,103366133.6,109544114.64,0.0,0.015,0,1.0,1
29EIPTQ6349H1ZP,0,none,43.93,53.81,0,59,42,123093958.84,112408629.18,1.9,0.016,0,1.0,1
10RREAD0435X5ZK,0,none,29.28,39.64,0,42,22,101709280.95,54281004.99,17.48,0.0134,0,,0
36DXILN2964Q6ZD,0,none,41.1,35.96,0,37,31,100871949.22,70939902.52,8.44,0.0136,0,1.0,1
04XRCTA8003E3ZC,1,sudden_spike,47.99,59.81,0,52,38,145025423.65,90205412.53,12.15,0.0195,0,1.0,1
11HCJNX1899C8ZS,0,none,42.989999999999995,51.98,0,50,50,124232855.79,129178853.22,0.0,0.0149,0,1.0,1
07HUTGJ9977R4ZJ,0,none,25.33,35.24,0,34,33,95706025.07,73365277.81,6.09,0.0131,0,,0
32SAITJ7329N8ZD,0,none,27.62,48.8,0,40,47,112292411.74,103595915.89,1.68,0.0132,0,,0
36VKXLT5563S1Z1,0,none,36.72,26.88,0,33,41,79568427.31,114738575.51,0.0,0.0181,0,1.0,0
29KVILG9171D3Z2,0,none,42.85,48.04,0,44,40,111603850.71,95518516.7,3.37,0.0166,0,1.0,1
27FIGDE6860K3ZF,0,none,41.11,44.42,0,44,46,107439764.11,128301622.37,0.0,0.0171,0,1.0,1
09VEYWO5017D1ZD,1,missing_returns,43.239999999999995,47.92,0,41,31,112445024.87,89853612.49,5.03,0.016,0,1.0,1
21YCPXB9168C6ZH,0,none,41.39,43.55,0,41,34,107508193.66,97612773.51,2.03,0.0177,0,1.0,1
32SMJLJ9241T4ZS,0,none,39.43,37.71,0,37,41,100185026.52,121414163.21,0.0,0.0133,0,1.0,0
09JKQUG9503W6Z4,0,none,40.55,42.21,0,39,35,98088951.93,104385805.19,0.0,0.0144,0,1.0,1
09EIFXU0957H3ZG,0,none,27.33,49.32,0,44,54,109143952.55,135748715.83,0.0,0.0152,0,,0
37TTYOZ3991H6ZW,0,none,37.379999999999995,29.53,0,35,43,93558018.12,110942706.57,0.0,0.0154,0,1.0,0
05OEZWM3402H1Z7,1,fake_itc,76.82,47.28,100,41,42,109768401.45,131412099.22,0.0,0.0156,1,1.0,1
05IEUWB1711Q6ZE,0,none,37.72,28.33,0,36,31,86202064.53,76439788.1,2.55,0.0167,0,1.0,0
11HDEYU9619W6ZO,0,none,26.18,43.28,0,44,41,111040735.06,103618577.15,1.43,0.0143,0,,0
06SYYKZ9069T4ZG,0,none,43.019999999999996,45.96,0,43,41,117149348.6,89710528.37,6.12,0.0147,0,1.0,1
11EXCSQ8422C6ZQ,0,none,42.260000000000005,48.97,0,41,41,116238941.26,115854477.29,0.07,0.0139,0,1.0,1
14ZWMJO1486V4ZK,0,none,37.82,31.27,0,39,36,89829280.02,103061322.7,0.0,0.0185,0,1.0,0
11GCIXE0993T8ZB,0,none,39.39,33.35,0,43,33,98816135.17,81629630.74,4.21,0.0182,0,1.0,0
02CFESS7222B7Z9,0,none,38.55,33.54,0,43,40,97190469.23,94028406.22,0.67,0.0145,0,1.0,0
10VQMCF6941Z7Z4,0,none,21.74,26.96,0,31,50,80309845.0,148364017.15,0.0,0.0127,0,,0
06JJEBL2851W2ZF,0,none,22.4,28.18,0,36,37,89288561.57,83391668.63,1.41,0.0133,0,,0
18BKNZR9522M1Z6,0,none,45.010000000000005,59.84,0,51,52,137484584.28,136006091.57,0.22,0.0126,0,1.0,1
27LYEFF0062U3ZQ,0,none,43.4,51.12,0,43,41,114047616.38,101545643.44,2.46,0.0152,0,1.0,1
18KIHLW7654N3ZJ,0,none,43.0,41.33,0,37,31,104384400.99,68086844.61,10.66,0.0171,0,1.0,1
33NIKJM6021T7ZC,0,none,37.64,30.55,0,43,40,90980237.4,95690106.61,0.0,0.0176,0,1.0,0
37GJIUI8869H3ZT,0,none,31.35,60.77,0,44,38,128101855.92,103947467.94,4.65,0.0117,0,,0
20QEFVT7885F2ZT,0,none,22.76,31.02,0,32,54,89647625.69,147153437.64,0.0,0.0167,0,,0
19AFVVG4972O9ZZ,0,none,39.6,38.39,0,43,49,98104858.81,112161620.33,0.0,0.0175,0,1.0,0
15EWPJE8762M1ZK,1,circular_trading,41.31,41.6,0,46,34,113431996.6,95949883.1,3.64,0.0123,0,1.0,1
21KAUTA9660I5ZR,0,none,47.86,52.24,0,42,26,117550316.6,59988225.13,19.19,0.0189,0,1.0,1
15HNQPA9985T5ZT,1,shell_company,44.18,53.07,0,51,41,119509011.25,101029542.12,3.66,0.0148,0,1.0,1
11WGSXH1788Z7ZU,1,circular_trading,39.61,38.44,0,46,47,104201527.19,119755148.77,0.0,0.0117,0,1.0,0
09XKTPZ8376U8ZW,0,none,37.56,28.73,0,36,30,78761842.41,73229970.56,1.51,0.0107,0,1.0,0
18ECDGV7163C4ZW,0,none,24.6,38.38,0,30,42,91838352.66,114048362.63,0.0,0.0141,0,,0
11JPMDB6564G9ZH,1,fake_itc,43.6,51.23,0,43,45,120950832.39,104361750.1,3.18,0.0188,0,1.0,1
05DFKOX4377P6ZL,0,none,25.51,41.2,0,40,42,102035993.26,97872596.81,0.85,0.0184,0,,0
27UOEUU1444P7ZA,0,none,24.64,32.48,0,36,30,94483200.86,72417946.05,6.09,0.0145,0,,0
36IVERQ2631M9ZT,0,none,17.39,9.56,0,25,46,54332979.7,114919346.35,0.0,0.0185,0,,0
15SPIXZ3931Z7ZB,0,none,30.6,51.63,0,48,34,125253395.85,81372155.77,10.79,0.0164,0,,0
01PEJQA8250B2ZB,0,none,22.53,30.1,0,33,42,84579629.54,99416723.19,0.0,0.0112,0,,0
18GSFRA4156W3Z0,0,none,44.39,54.38,0,48,41,127977618.58,110410192.39,3.18,0.0118,0,1.0,1
29CFFGN2720P4Z4,0,none,27.78,44.14,0,37,34,102815088.25,76190551.75,6.99,0.0157,0,,0
04VRDCN7122J5Z3,1,missing_returns,40.25,40.99,0,35,47,111383187.19,121853281.91,0.0,0.0184,0,1.0,1
10JRLDW8016K6Z2,0,none,45.230000000000004,44.87,0,42,27,115551955.38,64085375.21,16.06,0.0153,0,1.0,1
04KZHKW7671W1ZK,0,none,32.22,8.9,0,23,36,52362217.48,84205531.01,0.0,0.0123,0,1.0,0
22LPUPW8784P2Z0,0,none,38.510000000000005,34.05,0,35,49,91196459.01,127588537.9,0.0,0.0164,0,1.0,0
23WNTSF9856T2Z1,0,none,28.29,52.83,0,49,43,120996099.64,119115272.86,0.32,0.0158,0,,0
05VOZBQ1888C8ZU,0,none,45.71,55.48,0,51,43,130837937.62,95627625.44,7.36,0.0173,0,1.0,1
18QKGLU4841P1ZG,0,none,38.7,34.79,0,33,45,93138771.55,106331756.63,0.0,0.0181,0,1.0,0
03UZQXO6438H8ZV,0,none,42.11,47.53,0,39,43,105662835.84,101087789.3,0.91,0.0169,0,1.0,1
04TFIVZ2570F8ZI,0,none,39.86,39.43,0,38,43,100350468.37,104138982.53,0.0,0.0151,0,1.0,0
37WFVEI7066D8Z3,0,none,37.63,70.79,0,54,34,149256769.47,75163785.87,19.72,0.0136,0,,0
02OLPYU9618D7ZU,0,none,19.92,19.66,0,29,30,69825386.55,76838909.5,0.0,0.014,0,,0
